,begin_schedule
195,"{92: 14400, 91: 14460, 90: 14485, 1: 14510, 86: 14602, 87: 14627, 2: 14687, 3: 14729, 4: 14770, 36: 14805, 37: 14808, 5: 14940, 6: 14968, 7: 15002, 8: 15035, 9: 15060}"
196,"{10: 15300, 11: 15360, 12: 15384, 13: 15410, 14: 15430, 15: 15449, 38: 15475, 35: 15660, 34: 15663, 82: 15682, 81: 15722, 85: 15755, 84: 15815, 83: 15834, 16: 15848, 17: 15904, 88: 15915, 89: 15937, 93: 15959}"
197,"{92: 16200, 91: 16260, 90: 16282, 1: 16304, 86: 16384, 87: 16406, 2: 16466, 3: 16503, 4: 16538, 36: 16568, 37: 16571, 5: 16740, 6: 16765, 7: 16795, 8: 16824, 9: 16846}"
198,"{10: 16260, 11: 16320, 12: 16341, 13: 16364, 14: 16382, 15: 16399, 38: 16422, 35: 16620, 34: 16623, 82: 16640, 81: 16675, 85: 16705, 84: 16765, 83: 16782, 16: 16794, 17: 16844, 88: 16854, 89: 16874, 93: 16894}"
199,"{92: 17820, 91: 17880, 90: 17900, 1: 17920, 86: 17991, 87: 18010, 2: 18070, 3: 18103, 4: 18134, 36: 18161, 37: 18164, 5: 18360, 6: 18382, 7: 18408, 8: 18434, 9: 18454}"
200,"{10: 17100, 11: 17160, 12: 17187, 13: 17217, 14: 17240, 15: 17262, 38: 17291, 35: 17460, 34: 17463, 82: 17485, 81: 17531, 85: 17569, 84: 17629, 83: 17650, 16: 17666, 17: 17730, 88: 17743, 89: 17768, 93: 17793}"
243,"{10: 14640, 11: 14700, 12: 14727, 13: 14757, 14: 14780, 15: 14802, 38: 14831, 35: 14940, 34: 14943, 82: 14965, 81: 15011, 85: 15049, 84: 15109, 83: 15130, 16: 15146, 17: 15210, 88: 15223, 89: 15248, 93: 15273}"
245,"{10: 16440, 11: 16500, 12: 16527, 13: 16557, 14: 16580, 15: 16602, 38: 16631, 35: 16800, 34: 16803, 82: 16825, 81: 16871, 85: 16909, 84: 16969, 83: 16990, 16: 17006, 17: 17070, 88: 17083, 89: 17108, 93: 17133}"
277,"{92: 15360, 91: 15420, 90: 15445, 1: 15470, 86: 15562, 87: 15587, 2: 15647, 3: 15689, 4: 15730, 36: 15765, 37: 15768, 5: 15900, 6: 15928, 7: 15962, 8: 15995, 9: 16020}"
279,"{92: 17100, 91: 17160, 90: 17182, 1: 17204, 86: 17284, 87: 17306, 2: 17366, 3: 17403, 4: 17438, 36: 17468, 37: 17471, 5: 17640, 6: 17665, 7: 17695, 8: 17724, 9: 17746}"
282,"{10: 15900, 11: 15960, 12: 15987, 13: 16017, 14: 16040, 15: 16062, 38: 16091, 35: 16260, 34: 16263, 82: 16285, 81: 16331, 85: 16369, 84: 16429, 83: 16450, 16: 16466, 17: 16530, 88: 16543, 89: 16568, 93: 16593}"
284,"{10: 17700, 11: 17760, 12: 17784, 13: 17810, 14: 17830, 15: 17849, 38: 17875, 35: 18060, 34: 18063, 82: 18082, 81: 18122, 85: 18155, 84: 18215, 83: 18234, 16: 18248, 17: 18304, 88: 18315, 89: 18337, 93: 18359}"
345,"{10: 15000, 11: 15060, 12: 15081, 13: 15104, 14: 15122, 15: 15139, 38: 15162, 35: 15360, 34: 15363, 82: 15380, 81: 15415, 85: 15445, 84: 15505, 83: 15522, 16: 15534, 17: 15584, 88: 15594, 89: 15614, 93: 15634}"
346,"{92: 14580, 91: 14640, 90: 14662, 1: 14684, 86: 14764, 87: 14786, 2: 14846, 3: 14883, 4: 14918, 36: 14948, 37: 14951, 5: 15180, 6: 15205, 7: 15235, 8: 15264, 9: 15286}"
347,"{10: 16800, 11: 16860, 12: 16887, 13: 16917, 14: 16940, 15: 16962, 38: 16991, 35: 17160, 34: 17163, 82: 17185, 81: 17231, 85: 17269, 84: 17329, 83: 17350, 16: 17366, 17: 17430, 88: 17443, 89: 17468, 93: 17493}"
348,"{92: 16380, 91: 16440, 90: 16462, 1: 16484, 86: 16564, 87: 16586, 2: 16646, 3: 16683, 4: 16718, 36: 16748, 37: 16751, 5: 16980, 6: 17005, 7: 17035, 8: 17064, 9: 17086}"
392,"{10: 17340, 11: 17400, 12: 17421, 13: 17444, 14: 17462, 15: 17479, 38: 17502, 35: 17700, 34: 17703, 82: 17720, 81: 17755, 85: 17785, 84: 17845, 83: 17862, 16: 17874, 17: 17924, 88: 17934, 89: 17954, 93: 17974}"
393,"{92: 15780, 91: 15840, 90: 15865, 1: 15890, 86: 15982, 87: 16007, 2: 16067, 3: 16109, 4: 16150, 36: 16185, 37: 16188, 5: 16320, 6: 16348, 7: 16382, 8: 16415, 9: 16440}"
437,"{92: 14820, 91: 14880, 90: 14902, 1: 14924, 86: 15004, 87: 15026, 2: 15086, 3: 15123, 4: 15158, 36: 15188, 37: 15191, 5: 15360, 6: 15385, 7: 15415, 8: 15444, 9: 15466}"
439,"{92: 16680, 91: 16740, 90: 16760, 1: 16780, 86: 16851, 87: 16870, 2: 16930, 3: 16963, 4: 16994, 36: 17021, 37: 17024, 5: 17220, 6: 17242, 7: 17268, 8: 17294, 9: 17314}"
441,"{10: 15480, 11: 15540, 12: 15567, 13: 15597, 14: 15620, 15: 15642, 38: 15671, 35: 15840, 34: 15843, 82: 15865, 81: 15911, 85: 15949, 84: 16009, 83: 16030, 16: 16046, 17: 16110, 88: 16123, 89: 16148, 93: 16173}"
