,end_schedule
318,"{10: 48481, 11: 48508, 12: 48538, 13: 48561, 14: 48583, 15: 48612, 38: 48781, 35: 48784, 34: 48806, 82: 48852, 81: 48890, 85: 48950, 84: 48971, 83: 48987, 16: 49051, 17: 49064, 88: 49089, 89: 49114, 93: 49173}"
320,"{10: 50281, 11: 50302, 12: 50325, 13: 50343, 14: 50360, 15: 50383, 38: 50581, 35: 50584, 34: 50601, 82: 50636, 81: 50666, 85: 50726, 84: 50743, 83: 50755, 16: 50805, 17: 50815, 88: 50835, 89: 50855, 93: 50914}"
360,"{92: 47761, 91: 47781, 90: 47801, 1: 47872, 86: 47891, 87: 47951, 2: 47984, 3: 48015, 4: 48042, 36: 48045, 37: 48241, 5: 48263, 6: 48289, 7: 48315, 8: 48335, 9: 48394}"
361,"{10: 49381, 11: 49408, 12: 49438, 13: 49461, 14: 49483, 15: 49512, 38: 49681, 35: 49684, 34: 49706, 82: 49752, 81: 49790, 85: 49850, 84: 49871, 83: 49887, 16: 49951, 17: 49964, 88: 49989, 89: 50014, 93: 50073}"
362,"{92: 49561, 91: 49586, 90: 49611, 1: 49703, 86: 49728, 87: 49788, 2: 49830, 3: 49871, 4: 49906, 36: 49909, 37: 50041, 5: 50069, 6: 50103, 7: 50136, 8: 50161, 9: 50220}"
376,"{92: 49261, 91: 49281, 90: 49301, 1: 49372, 86: 49391, 87: 49451, 2: 49484, 3: 49515, 4: 49542, 36: 49545, 37: 49681, 5: 49703, 6: 49729, 7: 49755, 8: 49775, 9: 49834}"
412,"{92: 47341, 91: 47366, 90: 47391, 1: 47483, 86: 47508, 87: 47568, 2: 47610, 3: 47651, 4: 47686, 36: 47689, 37: 47821, 5: 47849, 6: 47883, 7: 47916, 8: 47941, 9: 48000}"
415,"{10: 47101, 11: 47128, 12: 47158, 13: 47181, 14: 47203, 15: 47232, 38: 47401, 35: 47404, 34: 47426, 82: 47472, 81: 47510, 85: 47570, 84: 47591, 83: 47607, 16: 47671, 17: 47684, 88: 47709, 89: 47734, 93: 47793}"
417,"{10: 48841, 11: 48865, 12: 48891, 13: 48911, 14: 48930, 15: 48956, 38: 49201, 35: 49204, 34: 49223, 82: 49263, 81: 49296, 85: 49356, 84: 49375, 83: 49389, 16: 49445, 17: 49456, 88: 49478, 89: 49500, 93: 49559}"
458,"{92: 49141, 91: 49163, 90: 49185, 1: 49265, 86: 49287, 87: 49347, 2: 49384, 3: 49419, 4: 49449, 36: 49452, 37: 49621, 5: 49646, 6: 49676, 7: 49705, 8: 49727, 9: 49786}"
462,"{10: 47941, 11: 47968, 12: 47998, 13: 48021, 14: 48043, 15: 48072, 38: 48241, 35: 48244, 34: 48266, 82: 48312, 81: 48350, 85: 48410, 84: 48431, 83: 48447, 16: 48511, 17: 48524, 88: 48549, 89: 48574, 93: 48633}"
463,"{10: 49681, 11: 49705, 12: 49731, 13: 49751, 14: 49770, 15: 49796, 38: 50041, 35: 50044, 34: 50063, 82: 50103, 81: 50136, 85: 50196, 84: 50215, 83: 50229, 16: 50285, 17: 50296, 88: 50318, 89: 50340, 93: 50399}"
