,begin_schedule
233,"{92: 60660, 91: 60720, 90: 60742, 1: 60764, 86: 60844, 87: 60866, 2: 60926, 3: 60963, 4: 60998, 36: 61028, 37: 61031, 5: 61200, 6: 61225, 7: 61255, 8: 61284, 9: 61306}"
234,"{10: 60120, 11: 60180, 12: 60204, 13: 60230, 14: 60250, 15: 60269, 38: 60295, 35: 60480, 34: 60483, 82: 60502, 81: 60542, 85: 60575, 84: 60635, 83: 60654, 16: 60668, 17: 60724, 88: 60735, 89: 60757, 93: 60779}"
255,"{10: 57780, 11: 57840, 12: 57864, 13: 57890, 14: 57910, 15: 57929, 38: 57955, 35: 58140, 34: 58143, 82: 58162, 81: 58202, 85: 58235, 84: 58295, 83: 58314, 16: 58328, 17: 58384, 88: 58395, 89: 58417, 93: 58439}"
257,"{10: 59580, 11: 59640, 12: 59667, 13: 59697, 14: 59720, 15: 59742, 38: 59771, 35: 59940, 34: 59943, 82: 59965, 81: 60011, 85: 60049, 84: 60109, 83: 60130, 16: 60146, 17: 60210, 88: 60223, 89: 60248, 93: 60273}"
323,"{92: 57600, 91: 57660, 90: 57685, 1: 57710, 86: 57802, 87: 57827, 2: 57887, 3: 57929, 4: 57970, 36: 58005, 37: 58008, 5: 58140, 6: 58168, 7: 58202, 8: 58235, 9: 58260}"
325,"{92: 59220, 91: 59280, 90: 59305, 1: 59330, 86: 59422, 87: 59447, 2: 59507, 3: 59549, 4: 59590, 36: 59625, 37: 59628, 5: 59760, 6: 59788, 7: 59822, 8: 59855, 9: 59880}"
327,"{92: 61140, 91: 61200, 90: 61225, 1: 61250, 86: 61342, 87: 61367, 2: 61427, 3: 61469, 4: 61510, 36: 61545, 37: 61548, 5: 61680, 6: 61708, 7: 61742, 8: 61775, 9: 61800}"
330,"{10: 59220, 11: 59280, 12: 59307, 13: 59337, 14: 59360, 15: 59382, 38: 59411, 35: 59580, 34: 59583, 82: 59605, 81: 59651, 85: 59689, 84: 59749, 83: 59770, 16: 59786, 17: 59850, 88: 59863, 89: 59888, 93: 59913}"
332,"{10: 61020, 11: 61080, 12: 61107, 13: 61137, 14: 61160, 15: 61182, 38: 61211, 35: 61380, 34: 61383, 82: 61405, 81: 61451, 85: 61489, 84: 61549, 83: 61570, 16: 61586, 17: 61650, 88: 61663, 89: 61688, 93: 61713}"
422,"{92: 59040, 91: 59100, 90: 59125, 1: 59150, 86: 59242, 87: 59267, 2: 59327, 3: 59369, 4: 59410, 36: 59445, 37: 59448, 5: 59580, 6: 59608, 7: 59642, 8: 59675, 9: 59700}"
427,"{10: 60480, 11: 60540, 12: 60561, 13: 60584, 14: 60602, 15: 60619, 38: 60642, 35: 60840, 34: 60843, 82: 60860, 81: 60895, 85: 60925, 84: 60985, 83: 61002, 16: 61014, 17: 61064, 88: 61074, 89: 61094, 93: 61114}"
468,"{92: 57960, 91: 58020, 90: 58042, 1: 58064, 86: 58144, 87: 58166, 2: 58226, 3: 58263, 4: 58298, 36: 58328, 37: 58331, 5: 58560, 6: 58585, 7: 58615, 8: 58644, 9: 58666}"
470,"{92: 59760, 91: 59820, 90: 59845, 1: 59870, 86: 59962, 87: 59987, 2: 60047, 3: 60089, 4: 60130, 36: 60165, 37: 60168, 5: 60360, 6: 60388, 7: 60422, 8: 60455, 9: 60480}"
471,"{10: 58680, 11: 58740, 12: 58764, 13: 58790, 14: 58810, 15: 58829, 38: 58855, 35: 59040, 34: 59043, 82: 59062, 81: 59102, 85: 59135, 84: 59195, 83: 59214, 16: 59228, 17: 59284, 88: 59295, 89: 59317, 93: 59339}"
