,begin_schedule
263,"{92: 49980, 91: 50040, 90: 50062, 1: 50084, 86: 50164, 87: 50186, 2: 50246, 3: 50283, 4: 50318, 36: 50348, 37: 50351, 5: 50520, 6: 50545, 7: 50575, 8: 50604, 9: 50626}"
311,"{92: 46800, 91: 46860, 90: 46885, 1: 46910, 86: 47002, 87: 47027, 2: 47087, 3: 47129, 4: 47170, 36: 47205, 37: 47208, 5: 47340, 6: 47368, 7: 47402, 8: 47435, 9: 47460}"
313,"{92: 48600, 91: 48660, 90: 48682, 1: 48704, 86: 48784, 87: 48806, 2: 48866, 3: 48903, 4: 48938, 36: 48968, 37: 48971, 5: 49140, 6: 49165, 7: 49195, 8: 49224, 9: 49246}"
318,"{10: 48420, 11: 48480, 12: 48507, 13: 48537, 14: 48560, 15: 48582, 38: 48611, 35: 48780, 34: 48783, 82: 48805, 81: 48851, 85: 48889, 84: 48949, 83: 48970, 16: 48986, 17: 49050, 88: 49063, 89: 49088, 93: 49113}"
320,"{10: 50220, 11: 50280, 12: 50301, 13: 50324, 14: 50342, 15: 50359, 38: 50382, 35: 50580, 34: 50583, 82: 50600, 81: 50635, 85: 50665, 84: 50725, 83: 50742, 16: 50754, 17: 50804, 88: 50814, 89: 50834, 93: 50854}"
360,"{92: 47700, 91: 47760, 90: 47780, 1: 47800, 86: 47871, 87: 47890, 2: 47950, 3: 47983, 4: 48014, 36: 48041, 37: 48044, 5: 48240, 6: 48262, 7: 48288, 8: 48314, 9: 48334}"
361,"{10: 49320, 11: 49380, 12: 49407, 13: 49437, 14: 49460, 15: 49482, 38: 49511, 35: 49680, 34: 49683, 82: 49705, 81: 49751, 85: 49789, 84: 49849, 83: 49870, 16: 49886, 17: 49950, 88: 49963, 89: 49988, 93: 50013}"
362,"{92: 49500, 91: 49560, 90: 49585, 1: 49610, 86: 49702, 87: 49727, 2: 49787, 3: 49829, 4: 49870, 36: 49905, 37: 49908, 5: 50040, 6: 50068, 7: 50102, 8: 50135, 9: 50160}"
376,"{92: 49200, 91: 49260, 90: 49280, 1: 49300, 86: 49371, 87: 49390, 2: 49450, 3: 49483, 4: 49514, 36: 49541, 37: 49544, 5: 49680, 6: 49702, 7: 49728, 8: 49754, 9: 49774}"
412,"{92: 47280, 91: 47340, 90: 47365, 1: 47390, 86: 47482, 87: 47507, 2: 47567, 3: 47609, 4: 47650, 36: 47685, 37: 47688, 5: 47820, 6: 47848, 7: 47882, 8: 47915, 9: 47940}"
415,"{10: 47040, 11: 47100, 12: 47127, 13: 47157, 14: 47180, 15: 47202, 38: 47231, 35: 47400, 34: 47403, 82: 47425, 81: 47471, 85: 47509, 84: 47569, 83: 47590, 16: 47606, 17: 47670, 88: 47683, 89: 47708, 93: 47733}"
417,"{10: 48780, 11: 48840, 12: 48864, 13: 48890, 14: 48910, 15: 48929, 38: 48955, 35: 49200, 34: 49203, 82: 49222, 81: 49262, 85: 49295, 84: 49355, 83: 49374, 16: 49388, 17: 49444, 88: 49455, 89: 49477, 93: 49499}"
458,"{92: 49080, 91: 49140, 90: 49162, 1: 49184, 86: 49264, 87: 49286, 2: 49346, 3: 49383, 4: 49418, 36: 49448, 37: 49451, 5: 49620, 6: 49645, 7: 49675, 8: 49704, 9: 49726}"
462,"{10: 47880, 11: 47940, 12: 47967, 13: 47997, 14: 48020, 15: 48042, 38: 48071, 35: 48240, 34: 48243, 82: 48265, 81: 48311, 85: 48349, 84: 48409, 83: 48430, 16: 48446, 17: 48510, 88: 48523, 89: 48548, 93: 48573}"
463,"{10: 49620, 11: 49680, 12: 49704, 13: 49730, 14: 49750, 15: 49769, 38: 49795, 35: 50040, 34: 50043, 82: 50062, 81: 50102, 85: 50135, 84: 50195, 83: 50214, 16: 50228, 17: 50284, 88: 50295, 89: 50317, 93: 50339}"
