,begin_schedule
192,"{10: 13500, 11: 13560, 12: 13587, 13: 13617, 14: 13640, 15: 13662, 38: 13691, 35: 13860, 34: 13863, 82: 13885, 81: 13931, 85: 13969, 84: 14029, 83: 14050, 16: 14066, 17: 14130, 88: 14143, 89: 14168, 93: 14193}"
193,"{92: 13500, 91: 13560, 90: 13585, 1: 13610, 86: 13702, 87: 13727, 2: 13787, 3: 13829, 4: 13870, 36: 13905, 37: 13908, 5: 14040, 6: 14068, 7: 14102, 8: 14135, 9: 14160}"
194,"{10: 14100, 11: 14160, 12: 14184, 13: 14210, 14: 14230, 15: 14249, 38: 14275, 35: 14460, 34: 14463, 82: 14482, 81: 14522, 85: 14555, 84: 14615, 83: 14634, 16: 14648, 17: 14704, 88: 14715, 89: 14737, 93: 14759}"
242,"{10: 12840, 11: 12900, 12: 12927, 13: 12957, 14: 12980, 15: 13002, 38: 13031, 35: 13200, 34: 13203, 82: 13225, 81: 13271, 85: 13309, 84: 13369, 83: 13390, 16: 13406, 17: 13470, 88: 13483, 89: 13508, 93: 13533}"
273,"{92: 11640, 91: 11700, 90: 11720, 1: 11740, 86: 11811, 87: 11830, 2: 11890, 3: 11923, 4: 11954, 36: 11981, 37: 11984, 5: 12180, 6: 12202, 7: 12228, 8: 12254, 9: 12274}"
275,"{92: 13740, 91: 13800, 90: 13820, 1: 13840, 86: 13911, 87: 13930, 2: 13990, 3: 14023, 4: 14054, 36: 14081, 37: 14084, 5: 14280, 6: 14302, 7: 14328, 8: 14354, 9: 14374}"
276,"{10: 11280, 11: 11340, 12: 11367, 13: 11397, 14: 11420, 15: 11442, 38: 11471, 35: 11640, 34: 11643, 82: 11665, 81: 11711, 85: 11749, 84: 11809, 83: 11830, 16: 11846, 17: 11910, 88: 11923, 89: 11948, 93: 11973}"
278,"{10: 13200, 11: 13260, 12: 13287, 13: 13317, 14: 13340, 15: 13362, 38: 13391, 35: 13560, 34: 13563, 82: 13585, 81: 13631, 85: 13669, 84: 13729, 83: 13750, 16: 13766, 17: 13830, 88: 13843, 89: 13868, 93: 13893}"
280,"{10: 14340, 11: 14400, 12: 14427, 13: 14457, 14: 14480, 15: 14502, 38: 14531, 35: 14700, 34: 14703, 82: 14725, 81: 14771, 85: 14809, 84: 14869, 83: 14890, 16: 14906, 17: 14970, 88: 14983, 89: 15008, 93: 15033}"
342,"{92: 10860, 91: 10920, 90: 10945, 1: 10970, 86: 11062, 87: 11087, 2: 11147, 3: 11189, 4: 11230, 36: 11265, 37: 11268, 5: 11460, 6: 11488, 7: 11522, 8: 11555, 9: 11580}"
343,"{10: 12240, 11: 12300, 12: 12327, 13: 12357, 14: 12380, 15: 12402, 38: 12431, 35: 12600, 34: 12603, 82: 12625, 81: 12671, 85: 12709, 84: 12769, 83: 12790, 16: 12806, 17: 12870, 88: 12883, 89: 12908, 93: 12933}"
344,"{92: 12780, 91: 12840, 90: 12860, 1: 12880, 86: 12951, 87: 12970, 2: 13030, 3: 13063, 4: 13094, 36: 13121, 37: 13124, 5: 13380, 6: 13402, 7: 13428, 8: 13454, 9: 13474}"
369,"{92: 12000, 91: 12060, 90: 12082, 1: 12104, 86: 12184, 87: 12206, 2: 12266, 3: 12303, 4: 12338, 36: 12368, 37: 12371, 5: 12480, 6: 12505, 7: 12535, 8: 12564, 9: 12586}"
372,"{10: 11340, 11: 11400, 12: 11421, 13: 11444, 14: 11462, 15: 11479, 38: 11502, 35: 11640, 34: 11643, 82: 11660, 81: 11695, 85: 11725, 84: 11785, 83: 11802, 16: 11814, 17: 11864, 88: 11874, 89: 11894, 93: 11914}"
374,"{10: 13140, 11: 13200, 12: 13224, 13: 13250, 14: 13270, 15: 13289, 38: 13315, 35: 13440, 34: 13443, 82: 13462, 81: 13502, 85: 13535, 84: 13595, 83: 13614, 16: 13628, 17: 13684, 88: 13695, 89: 13717, 93: 13739}"
387,"{92: 11880, 91: 11940, 90: 11960, 1: 11980, 86: 12051, 87: 12070, 2: 12130, 3: 12163, 4: 12194, 36: 12221, 37: 12224, 5: 12420, 6: 12442, 7: 12468, 8: 12494, 9: 12514}"
388,"{92: 12300, 91: 12360, 90: 12382, 1: 12404, 86: 12484, 87: 12506, 2: 12566, 3: 12603, 4: 12638, 36: 12668, 37: 12671, 5: 12900, 6: 12925, 7: 12955, 8: 12984, 9: 13006}"
389,"{10: 10980, 11: 11040, 12: 11061, 13: 11084, 14: 11102, 15: 11119, 38: 11142, 35: 11400, 34: 11403, 82: 11420, 81: 11455, 85: 11485, 84: 11545, 83: 11562, 16: 11574, 17: 11624, 88: 11634, 89: 11654, 93: 11674}"
390,"{92: 13980, 91: 14040, 90: 14060, 1: 14080, 86: 14151, 87: 14170, 2: 14230, 3: 14263, 4: 14294, 36: 14321, 37: 14324, 5: 14520, 6: 14542, 7: 14568, 8: 14594, 9: 14614}"
391,"{10: 13680, 11: 13740, 12: 13764, 13: 13790, 14: 13810, 15: 13829, 38: 13855, 35: 14040, 34: 14043, 82: 14062, 81: 14102, 85: 14135, 84: 14195, 83: 14214, 16: 14228, 17: 14284, 88: 14295, 89: 14317, 93: 14339}"
434,"{92: 11220, 91: 11280, 90: 11305, 1: 11330, 86: 11422, 87: 11447, 2: 11507, 3: 11549, 4: 11590, 36: 11625, 37: 11628, 5: 11760, 6: 11788, 7: 11822, 8: 11855, 9: 11880}"
435,"{92: 13080, 91: 13140, 90: 13160, 1: 13180, 86: 13251, 87: 13270, 2: 13330, 3: 13363, 4: 13394, 36: 13421, 37: 13424, 5: 13620, 6: 13642, 7: 13668, 8: 13694, 9: 13714}"
438,"{10: 11880, 11: 11940, 12: 11961, 13: 11984, 14: 12002, 15: 12019, 38: 12042, 35: 12240, 34: 12243, 82: 12260, 81: 12295, 85: 12325, 84: 12385, 83: 12402, 16: 12414, 17: 12464, 88: 12474, 89: 12494, 93: 12514}"
