,end_schedule
24,"{10: 55201, 11: 55225, 12: 55251, 13: 55271, 14: 55290, 15: 55316, 38: 55441, 35: 55444, 34: 55463, 82: 55503, 81: 55536, 85: 55596, 84: 55615, 83: 55629, 16: 55685, 17: 55696, 88: 55718, 89: 55740, 93: 55799}"
25,"{92: 9241, 91: 9266, 90: 9291, 1: 9383, 86: 9408, 87: 9468, 2: 9510, 3: 9551, 4: 9586, 36: 9589, 37: 9781, 5: 9809, 6: 9843, 7: 9876, 8: 9901, 9: 9960}"
26,"{92: 11041, 91: 11063, 90: 11085, 1: 11165, 86: 11187, 87: 11247, 2: 11284, 3: 11319, 4: 11349, 36: 11352, 37: 11581, 5: 11606, 6: 11636, 7: 11665, 8: 11687, 9: 11746}"
27,"{92: 12901, 91: 12926, 90: 12951, 1: 13043, 86: 13068, 87: 13128, 2: 13170, 3: 13211, 4: 13246, 36: 13249, 37: 13381, 5: 13409, 6: 13443, 7: 13476, 8: 13501, 9: 13560}"
28,"{92: 14701, 91: 14726, 90: 14751, 1: 14843, 86: 14868, 87: 14928, 2: 14970, 3: 15011, 4: 15046, 36: 15049, 37: 15139, 5: 15167, 6: 15201, 7: 15234, 8: 15259, 9: 15318}"
29,"{92: 16501, 91: 16523, 90: 16545, 1: 16625, 86: 16647, 87: 16707, 2: 16744, 3: 16779, 4: 16809, 36: 16812, 37: 16981, 5: 17006, 6: 17036, 7: 17065, 8: 17087, 9: 17146}"
30,"{92: 33901, 91: 33921, 90: 33941, 1: 34012, 86: 34031, 87: 34091, 2: 34124, 3: 34155, 4: 34182, 36: 34185, 37: 34381, 5: 34403, 6: 34429, 7: 34455, 8: 34475, 9: 34534}"
31,"{92: 35341, 91: 35366, 90: 35391, 1: 35483, 86: 35508, 87: 35568, 2: 35610, 3: 35651, 4: 35686, 36: 35689, 37: 35821, 5: 35849, 6: 35883, 7: 35916, 8: 35941, 9: 36000}"
32,"{92: 51541, 91: 51566, 90: 51591, 1: 51683, 86: 51708, 87: 51768, 2: 51810, 3: 51851, 4: 51886, 36: 51889, 37: 52021, 5: 52049, 6: 52083, 7: 52116, 8: 52141, 9: 52200}"
33,"{10: 6241, 11: 6260, 12: 6281, 13: 6297, 14: 6312, 44: 6316, 45: 6334, 46: 6601, 47: 6605, 48: 6612, 65: 6627, 66: 6642, 67: 6657, 68: 6672, 69: 6687, 70: 6702, 71: 6717, 72: 6732, 73: 6743, 74: 6802}"
34,"{10: 9181, 11: 9200, 12: 9221, 13: 9237, 14: 9252, 44: 9256, 45: 9274, 46: 9541, 47: 9545, 48: 9552, 65: 9567, 66: 9582, 67: 9597, 68: 9612, 69: 9627, 70: 9642, 71: 9657, 72: 9672, 73: 9683, 74: 9742}"
35,"{10: 10741, 11: 10760, 12: 10781, 13: 10797, 14: 10812, 44: 10816, 45: 10834, 46: 11041, 47: 11045, 48: 11052, 65: 11067, 66: 11082, 67: 11097, 68: 11112, 69: 11127, 70: 11142, 71: 11157, 72: 11172, 73: 11183, 74: 11242}"
36,"{10: 12481, 11: 12500, 12: 12521, 13: 12537, 14: 12552, 44: 12556, 45: 12574, 46: 12781, 47: 12785, 48: 12792, 65: 12807, 66: 12822, 67: 12837, 68: 12852, 69: 12867, 70: 12882, 71: 12897, 72: 12912, 73: 12923, 74: 12982}"
37,"{10: 14641, 11: 14660, 12: 14681, 13: 14697, 14: 14712, 44: 14716, 45: 14734, 46: 15001, 47: 15005, 48: 15012, 65: 15027, 66: 15042, 67: 15057, 68: 15072, 69: 15087, 70: 15102, 71: 15117, 72: 15132, 73: 15143, 74: 15202}"
38,"{10: 16201, 11: 16220, 12: 16241, 13: 16257, 14: 16272, 44: 16276, 45: 16294, 46: 16501, 47: 16505, 48: 16512, 65: 16527, 66: 16542, 67: 16557, 68: 16572, 69: 16587, 70: 16602, 71: 16617, 72: 16632, 73: 16643, 74: 16702}"
39,"{10: 17941, 11: 17960, 12: 17981, 13: 17997, 14: 18012, 44: 18016, 45: 18034, 46: 18241, 47: 18245, 48: 18252, 65: 18267, 66: 18282, 67: 18297, 68: 18312, 69: 18327, 70: 18342, 71: 18357, 72: 18372, 73: 18383, 74: 18442}"
40,"{10: 19441, 11: 19460, 12: 19481, 13: 19497, 14: 19512, 44: 19516, 45: 19534, 46: 19681, 47: 19685, 48: 19692, 65: 19707, 66: 19722, 67: 19737, 68: 19752, 69: 19767, 70: 19782, 71: 19797, 72: 19812, 73: 19823, 74: 19882}"
41,"{10: 21241, 11: 21260, 12: 21281, 13: 21297, 14: 21312, 44: 21316, 45: 21334, 46: 21481, 47: 21485, 48: 21492, 65: 21507, 66: 21522, 67: 21537, 68: 21552, 69: 21567, 70: 21582, 71: 21597, 72: 21612, 73: 21623, 74: 21682}"
42,"{10: 23041, 11: 23060, 12: 23081, 13: 23097, 14: 23112, 44: 23116, 45: 23134, 46: 23281, 47: 23285, 48: 23292, 65: 23307, 66: 23322, 67: 23337, 68: 23352, 69: 23367, 70: 23382, 71: 23397, 72: 23412, 73: 23423, 74: 23482}"
43,"{10: 24841, 11: 24860, 12: 24881, 13: 24897, 14: 24912, 44: 24916, 45: 24934, 46: 25081, 47: 25085, 48: 25092, 65: 25107, 66: 25122, 67: 25137, 68: 25152, 69: 25167, 70: 25182, 71: 25197, 72: 25212, 73: 25223, 74: 25282}"
44,"{10: 26641, 11: 26660, 12: 26681, 13: 26697, 14: 26712, 44: 26716, 45: 26734, 46: 26881, 47: 26885, 48: 26892, 65: 26907, 66: 26922, 67: 26937, 68: 26952, 69: 26967, 70: 26982, 71: 26997, 72: 27012, 73: 27023, 74: 27082}"
45,"{10: 28501, 11: 28520, 12: 28541, 13: 28557, 14: 28572, 44: 28576, 45: 28594, 46: 28741, 47: 28745, 48: 28752, 65: 28767, 66: 28782, 67: 28797, 68: 28812, 69: 28827, 70: 28842, 71: 28857, 72: 28872, 73: 28883, 74: 28942}"
46,"{10: 30301, 11: 30320, 12: 30341, 13: 30357, 14: 30372, 44: 30376, 45: 30394, 46: 30601, 47: 30605, 48: 30612, 65: 30627, 66: 30642, 67: 30657, 68: 30672, 69: 30687, 70: 30702, 71: 30717, 72: 30732, 73: 30743, 74: 30802}"
47,"{10: 32221, 11: 32240, 12: 32261, 13: 32277, 14: 32292, 44: 32296, 45: 32314, 46: 32521, 47: 32525, 48: 32532, 65: 32547, 66: 32562, 67: 32577, 68: 32592, 69: 32607, 70: 32622, 71: 32637, 72: 32652, 73: 32663, 74: 32722}"
48,"{10: 34021, 11: 34040, 12: 34061, 13: 34077, 14: 34092, 44: 34096, 45: 34114, 46: 34321, 47: 34325, 48: 34332, 65: 34347, 66: 34362, 67: 34377, 68: 34392, 69: 34407, 70: 34422, 71: 34437, 72: 34452, 73: 34463, 74: 34522}"
49,"{10: 35701, 11: 35720, 12: 35741, 13: 35757, 14: 35772, 44: 35776, 45: 35794, 46: 36001, 47: 36005, 48: 36012, 65: 36027, 66: 36042, 67: 36057, 68: 36072, 69: 36087, 70: 36102, 71: 36117, 72: 36132, 73: 36143, 74: 36202}"
50,"{10: 37501, 11: 37520, 12: 37541, 13: 37557, 14: 37572, 44: 37576, 45: 37594, 46: 37801, 47: 37805, 48: 37812, 65: 37827, 66: 37842, 67: 37857, 68: 37872, 69: 37887, 70: 37902, 71: 37917, 72: 37932, 73: 37943, 74: 38002}"
51,"{10: 39301, 11: 39320, 12: 39341, 13: 39357, 14: 39372, 44: 39376, 45: 39394, 46: 39601, 47: 39605, 48: 39612, 65: 39627, 66: 39642, 67: 39657, 68: 39672, 69: 39687, 70: 39702, 71: 39717, 72: 39732, 73: 39743, 74: 39802}"
52,"{10: 41101, 11: 41120, 12: 41141, 13: 41157, 14: 41172, 44: 41176, 45: 41194, 46: 41401, 47: 41405, 48: 41412, 65: 41427, 66: 41442, 67: 41457, 68: 41472, 69: 41487, 70: 41502, 71: 41517, 72: 41532, 73: 41543, 74: 41602}"
53,"{10: 42901, 11: 42920, 12: 42941, 13: 42957, 14: 42972, 44: 42976, 45: 42994, 46: 43201, 47: 43205, 48: 43212, 65: 43227, 66: 43242, 67: 43257, 68: 43272, 69: 43287, 70: 43302, 71: 43317, 72: 43332, 73: 43343, 74: 43402}"
54,"{10: 44701, 11: 44720, 12: 44741, 13: 44757, 14: 44772, 44: 44776, 45: 44794, 46: 45001, 47: 45005, 48: 45012, 65: 45027, 66: 45042, 67: 45057, 68: 45072, 69: 45087, 70: 45102, 71: 45117, 72: 45132, 73: 45143, 74: 45202}"
55,"{10: 46561, 11: 46580, 12: 46601, 13: 46617, 14: 46632, 44: 46636, 45: 46654, 46: 46861, 47: 46865, 48: 46872, 65: 46887, 66: 46902, 67: 46917, 68: 46932, 69: 46947, 70: 46962, 71: 46977, 72: 46992, 73: 47003, 74: 47062}"
56,"{10: 48361, 11: 48380, 12: 48401, 13: 48417, 14: 48432, 44: 48436, 45: 48454, 46: 48661, 47: 48665, 48: 48672, 65: 48687, 66: 48702, 67: 48717, 68: 48732, 69: 48747, 70: 48762, 71: 48777, 72: 48792, 73: 48803, 74: 48862}"
57,"{10: 50161, 11: 50180, 12: 50201, 13: 50217, 14: 50232, 44: 50236, 45: 50254, 46: 50461, 47: 50465, 48: 50472, 65: 50487, 66: 50502, 67: 50517, 68: 50532, 69: 50547, 70: 50562, 71: 50577, 72: 50592, 73: 50603, 74: 50662}"
58,"{10: 51901, 11: 51920, 12: 51941, 13: 51957, 14: 51972, 44: 51976, 45: 51994, 46: 52201, 47: 52205, 48: 52212, 65: 52227, 66: 52242, 67: 52257, 68: 52272, 69: 52287, 70: 52302, 71: 52317, 72: 52332, 73: 52343, 74: 52402}"
59,"{10: 53701, 11: 53720, 12: 53741, 13: 53757, 14: 53772, 44: 53776, 45: 53794, 46: 54001, 47: 54005, 48: 54012, 65: 54027, 66: 54042, 67: 54057, 68: 54072, 69: 54087, 70: 54102, 71: 54117, 72: 54132, 73: 54143, 74: 54202}"
60,"{10: 55561, 11: 55580, 12: 55601, 13: 55617, 14: 55632, 44: 55636, 45: 55654, 46: 55861, 47: 55865, 48: 55872, 65: 55887, 66: 55902, 67: 55917, 68: 55932, 69: 55947, 70: 55962, 71: 55977, 72: 55992, 73: 56003, 74: 56062}"
61,"{10: 57361, 11: 57380, 12: 57401, 13: 57417, 14: 57432, 44: 57436, 45: 57454, 46: 57661, 47: 57665, 48: 57672, 65: 57687, 66: 57702, 67: 57717, 68: 57732, 69: 57747, 70: 57762, 71: 57777, 72: 57792, 73: 57803, 74: 57862}"
62,"{10: 59521, 11: 59540, 12: 59561, 13: 59577, 14: 59592, 44: 59596, 45: 59614, 46: 59821, 47: 59825, 48: 59832, 65: 59847, 66: 59862, 67: 59877, 68: 59892, 69: 59907, 70: 59922, 71: 59937, 72: 59952, 73: 59963, 74: 60022}"
63,"{10: 60961, 11: 60980, 12: 61001, 13: 61017, 14: 61032, 44: 61036, 45: 61054, 46: 61261, 47: 61265, 48: 61272, 65: 61287, 66: 61302, 67: 61317, 68: 61332, 69: 61347, 70: 61362, 71: 61377, 72: 61392, 73: 61403, 74: 61462}"
64,"{10: 62761, 11: 62780, 12: 62801, 13: 62817, 14: 62832, 44: 62836, 45: 62854, 46: 63061, 47: 63065, 48: 63072, 65: 63087, 66: 63102, 67: 63117, 68: 63132, 69: 63147, 70: 63162, 71: 63177, 72: 63192, 73: 63203, 74: 63262}"
65,"{10: 64501, 11: 64520, 12: 64541, 13: 64557, 14: 64572, 44: 64576, 45: 64594, 46: 64801, 47: 64805, 48: 64812, 65: 64827, 66: 64842, 67: 64857, 68: 64872, 69: 64887, 70: 64902, 71: 64917, 72: 64932, 73: 64943, 74: 65002}"
66,"{10: 66301, 11: 66320, 12: 66341, 13: 66357, 14: 66372, 44: 66376, 45: 66394, 46: 66601, 47: 66605, 48: 66612, 65: 66627, 66: 66642, 67: 66657, 68: 66672, 69: 66687, 70: 66702, 71: 66717, 72: 66732, 73: 66743, 74: 66802}"
67,"{10: 68101, 11: 68120, 12: 68141, 13: 68157, 14: 68172, 44: 68176, 45: 68194, 46: 68401, 47: 68405, 48: 68412, 65: 68427, 66: 68442, 67: 68457, 68: 68472, 69: 68487, 70: 68502, 71: 68517, 72: 68532, 73: 68543, 74: 68602}"
68,"{10: 70081, 11: 70100, 12: 70121, 13: 70137, 14: 70152, 44: 70156, 45: 70174, 46: 70381, 47: 70385, 48: 70392, 65: 70407, 66: 70422, 67: 70437, 68: 70452, 69: 70467, 70: 70482, 71: 70497, 72: 70512, 73: 70523, 74: 70582}"
69,"{58: 4021, 57: 4032, 56: 4047, 55: 4062, 54: 4077, 53: 4092, 52: 4107, 51: 4122, 50: 4137, 49: 4152, 43: 4158, 35: 4161, 42: 4162, 36: 4165, 37: 4321, 5: 4341, 6: 4365, 7: 4388, 8: 4406, 9: 4465}"
70,"{58: 5521, 57: 5532, 56: 5547, 55: 5562, 54: 5577, 53: 5592, 52: 5607, 51: 5622, 50: 5637, 49: 5652, 43: 5658, 35: 5661, 42: 5662, 36: 5665, 37: 5821, 5: 5841, 6: 5865, 7: 5888, 8: 5906, 9: 5965}"
71,"{58: 7321, 57: 7332, 56: 7347, 55: 7362, 54: 7377, 53: 7392, 52: 7407, 51: 7422, 50: 7437, 49: 7452, 43: 7458, 35: 7461, 42: 7462, 36: 7465, 37: 7681, 5: 7701, 6: 7725, 7: 7748, 8: 7766, 9: 7825}"
72,"{58: 9061, 57: 9072, 56: 9087, 55: 9102, 54: 9117, 53: 9132, 52: 9147, 51: 9162, 50: 9177, 49: 9192, 43: 9198, 35: 9201, 42: 9202, 36: 9205, 37: 9361, 5: 9381, 6: 9405, 7: 9428, 8: 9446, 9: 9505}"
73,"{58: 10921, 57: 10932, 56: 10947, 55: 10962, 54: 10977, 53: 10992, 52: 11007, 51: 11022, 50: 11037, 49: 11052, 43: 11058, 35: 11061, 42: 11062, 36: 11065, 37: 11221, 5: 11241, 6: 11265, 7: 11288, 8: 11306, 9: 11365}"
74,"{58: 12661, 57: 12672, 56: 12687, 55: 12702, 54: 12717, 53: 12732, 52: 12747, 51: 12762, 50: 12777, 49: 12792, 43: 12798, 35: 12801, 42: 12802, 36: 12805, 37: 12961, 5: 12981, 6: 13005, 7: 13028, 8: 13046, 9: 13105}"
75,"{58: 14401, 57: 14412, 56: 14427, 55: 14442, 54: 14457, 53: 14472, 52: 14487, 51: 14502, 50: 14517, 49: 14532, 43: 14538, 35: 14541, 42: 14542, 36: 14545, 37: 14701, 5: 14721, 6: 14745, 7: 14768, 8: 14786, 9: 14845}"
76,"{58: 16201, 57: 16212, 56: 16227, 55: 16242, 54: 16257, 53: 16272, 52: 16287, 51: 16302, 50: 16317, 49: 16332, 43: 16338, 35: 16341, 42: 16342, 36: 16345, 37: 16501, 5: 16521, 6: 16545, 7: 16568, 8: 16586, 9: 16645}"
77,"{58: 18181, 57: 18192, 56: 18207, 55: 18222, 54: 18237, 53: 18252, 52: 18267, 51: 18282, 50: 18297, 49: 18312, 43: 18318, 35: 18321, 42: 18322, 36: 18325, 37: 18481, 5: 18501, 6: 18525, 7: 18548, 8: 18566, 9: 18625}"
78,"{58: 20341, 57: 20352, 56: 20367, 55: 20382, 54: 20397, 53: 20412, 52: 20427, 51: 20442, 50: 20457, 49: 20472, 43: 20478, 35: 20481, 42: 20482, 36: 20485, 37: 20701, 5: 20721, 6: 20745, 7: 20768, 8: 20786, 9: 20845}"
79,"{58: 22141, 57: 22152, 56: 22167, 55: 22182, 54: 22197, 53: 22212, 52: 22227, 51: 22242, 50: 22257, 49: 22272, 43: 22278, 35: 22281, 42: 22282, 36: 22285, 37: 22501, 5: 22521, 6: 22545, 7: 22568, 8: 22586, 9: 22645}"
80,"{58: 23941, 57: 23952, 56: 23967, 55: 23982, 54: 23997, 53: 24012, 52: 24027, 51: 24042, 50: 24057, 49: 24072, 43: 24078, 35: 24081, 42: 24082, 36: 24085, 37: 24301, 5: 24321, 6: 24345, 7: 24368, 8: 24386, 9: 24445}"
81,"{58: 25741, 57: 25752, 56: 25767, 55: 25782, 54: 25797, 53: 25812, 52: 25827, 51: 25842, 50: 25857, 49: 25872, 43: 25878, 35: 25881, 42: 25882, 36: 25885, 37: 26101, 5: 26121, 6: 26145, 7: 26168, 8: 26186, 9: 26245}"
82,"{58: 27481, 57: 27492, 56: 27507, 55: 27522, 54: 27537, 53: 27552, 52: 27567, 51: 27582, 50: 27597, 49: 27612, 43: 27618, 35: 27621, 42: 27622, 36: 27625, 37: 27841, 5: 27861, 6: 27885, 7: 27908, 8: 27926, 9: 27985}"
83,"{58: 29281, 57: 29292, 56: 29307, 55: 29322, 54: 29337, 53: 29352, 52: 29367, 51: 29382, 50: 29397, 49: 29412, 43: 29418, 35: 29421, 42: 29422, 36: 29425, 37: 29641, 5: 29661, 6: 29685, 7: 29708, 8: 29726, 9: 29785}"
84,"{58: 31081, 57: 31092, 56: 31107, 55: 31122, 54: 31137, 53: 31152, 52: 31167, 51: 31182, 50: 31197, 49: 31212, 43: 31218, 35: 31221, 42: 31222, 36: 31225, 37: 31441, 5: 31461, 6: 31485, 7: 31508, 8: 31526, 9: 31585}"
85,"{58: 32881, 57: 32892, 56: 32907, 55: 32922, 54: 32937, 53: 32952, 52: 32967, 51: 32982, 50: 32997, 49: 33012, 43: 33018, 35: 33021, 42: 33022, 36: 33025, 37: 33241, 5: 33261, 6: 33285, 7: 33308, 8: 33326, 9: 33385}"
86,"{58: 34741, 57: 34752, 56: 34767, 55: 34782, 54: 34797, 53: 34812, 52: 34827, 51: 34842, 50: 34857, 49: 34872, 43: 34878, 35: 34881, 42: 34882, 36: 34885, 37: 35041, 5: 35061, 6: 35085, 7: 35108, 8: 35126, 9: 35185}"
87,"{58: 36481, 57: 36492, 56: 36507, 55: 36522, 54: 36537, 53: 36552, 52: 36567, 51: 36582, 50: 36597, 49: 36612, 43: 36618, 35: 36621, 42: 36622, 36: 36625, 37: 36841, 5: 36861, 6: 36885, 7: 36908, 8: 36926, 9: 36985}"
88,"{58: 38341, 57: 38352, 56: 38367, 55: 38382, 54: 38397, 53: 38412, 52: 38427, 51: 38442, 50: 38457, 49: 38472, 43: 38478, 35: 38481, 42: 38482, 36: 38485, 37: 38641, 5: 38661, 6: 38685, 7: 38708, 8: 38726, 9: 38785}"
89,"{58: 40141, 57: 40152, 56: 40167, 55: 40182, 54: 40197, 53: 40212, 52: 40227, 51: 40242, 50: 40257, 49: 40272, 43: 40278, 35: 40281, 42: 40282, 36: 40285, 37: 40501, 5: 40521, 6: 40545, 7: 40568, 8: 40586, 9: 40645}"
90,"{58: 41941, 57: 41952, 56: 41967, 55: 41982, 54: 41997, 53: 42012, 52: 42027, 51: 42042, 50: 42057, 49: 42072, 43: 42078, 35: 42081, 42: 42082, 36: 42085, 37: 42301, 5: 42321, 6: 42345, 7: 42368, 8: 42386, 9: 42445}"
91,"{58: 43741, 57: 43752, 56: 43767, 55: 43782, 54: 43797, 53: 43812, 52: 43827, 51: 43842, 50: 43857, 49: 43872, 43: 43878, 35: 43881, 42: 43882, 36: 43885, 37: 44101, 5: 44121, 6: 44145, 7: 44168, 8: 44186, 9: 44245}"
92,"{58: 45481, 57: 45492, 56: 45507, 55: 45522, 54: 45537, 53: 45552, 52: 45567, 51: 45582, 50: 45597, 49: 45612, 43: 45618, 35: 45621, 42: 45622, 36: 45625, 37: 45841, 5: 45861, 6: 45885, 7: 45908, 8: 45926, 9: 45985}"
93,"{58: 47281, 57: 47292, 56: 47307, 55: 47322, 54: 47337, 53: 47352, 52: 47367, 51: 47382, 50: 47397, 49: 47412, 43: 47418, 35: 47421, 42: 47422, 36: 47425, 37: 47641, 5: 47661, 6: 47685, 7: 47708, 8: 47726, 9: 47785}"
94,"{58: 49141, 57: 49152, 56: 49167, 55: 49182, 54: 49197, 53: 49212, 52: 49227, 51: 49242, 50: 49257, 49: 49272, 43: 49278, 35: 49281, 42: 49282, 36: 49285, 37: 49501, 5: 49521, 6: 49545, 7: 49568, 8: 49586, 9: 49645}"
95,"{58: 50941, 57: 50952, 56: 50967, 55: 50982, 54: 50997, 53: 51012, 52: 51027, 51: 51042, 50: 51057, 49: 51072, 43: 51078, 35: 51081, 42: 51082, 36: 51085, 37: 51301, 5: 51321, 6: 51345, 7: 51368, 8: 51386, 9: 51445}"
96,"{58: 52681, 57: 52692, 56: 52707, 55: 52722, 54: 52737, 53: 52752, 52: 52767, 51: 52782, 50: 52797, 49: 52812, 43: 52818, 35: 52821, 42: 52822, 36: 52825, 37: 53041, 5: 53061, 6: 53085, 7: 53108, 8: 53126, 9: 53185}"
97,"{58: 54541, 57: 54552, 56: 54567, 55: 54582, 54: 54597, 53: 54612, 52: 54627, 51: 54642, 50: 54657, 49: 54672, 43: 54678, 35: 54681, 42: 54682, 36: 54685, 37: 54901, 5: 54921, 6: 54945, 7: 54968, 8: 54986, 9: 55045}"
98,"{58: 56221, 57: 56232, 56: 56247, 55: 56262, 54: 56277, 53: 56292, 52: 56307, 51: 56322, 50: 56337, 49: 56352, 43: 56358, 35: 56361, 42: 56362, 36: 56365, 37: 56521, 5: 56541, 6: 56565, 7: 56588, 8: 56606, 9: 56665}"
99,"{58: 58141, 57: 58152, 56: 58167, 55: 58182, 54: 58197, 53: 58212, 52: 58227, 51: 58242, 50: 58257, 49: 58272, 43: 58278, 35: 58281, 42: 58282, 36: 58285, 37: 58441, 5: 58461, 6: 58485, 7: 58508, 8: 58526, 9: 58585}"
100,"{58: 59941, 57: 59952, 56: 59967, 55: 59982, 54: 59997, 53: 60012, 52: 60027, 51: 60042, 50: 60057, 49: 60072, 43: 60078, 35: 60081, 42: 60082, 36: 60085, 37: 60241, 5: 60261, 6: 60285, 7: 60308, 8: 60326, 9: 60385}"
