,begin_schedule
202,"{92: 19500, 91: 19560, 90: 19585, 1: 19610, 86: 19702, 87: 19727, 2: 19787, 3: 19829, 4: 19870, 36: 19905, 37: 19908, 5: 20040, 6: 20068, 7: 20102, 8: 20135, 9: 20160}"
203,"{92: 20820, 91: 20880, 90: 20905, 1: 20930, 86: 21022, 87: 21047, 2: 21107, 3: 21149, 4: 21190, 36: 21225, 37: 21228, 5: 21360, 6: 21388, 7: 21422, 8: 21455, 9: 21480}"
204,"{10: 19800, 11: 19860, 12: 19884, 13: 19910, 14: 19930, 15: 19949, 38: 19975, 35: 20160, 34: 20163, 82: 20182, 81: 20222, 85: 20255, 84: 20315, 83: 20334, 16: 20348, 17: 20404, 88: 20415, 89: 20437, 93: 20459}"
247,"{10: 18240, 11: 18300, 12: 18321, 13: 18344, 14: 18362, 15: 18379, 38: 18402, 35: 18600, 34: 18603, 82: 18620, 81: 18655, 85: 18685, 84: 18745, 83: 18762, 16: 18774, 17: 18824, 88: 18834, 89: 18854, 93: 18874}"
249,"{10: 20220, 11: 20280, 12: 20307, 13: 20337, 14: 20360, 15: 20382, 38: 20411, 35: 20580, 34: 20583, 82: 20605, 81: 20651, 85: 20689, 84: 20749, 83: 20770, 16: 20786, 17: 20850, 88: 20863, 89: 20888, 93: 20913}"
281,"{92: 19500, 91: 19560, 90: 19585, 1: 19610, 86: 19702, 87: 19727, 2: 19787, 3: 19829, 4: 19870, 36: 19905, 37: 19908, 5: 20100, 6: 20128, 7: 20162, 8: 20195, 9: 20220}"
283,"{92: 21420, 91: 21480, 90: 21505, 1: 21530, 86: 21622, 87: 21647, 2: 21707, 3: 21749, 4: 21790, 36: 21825, 37: 21828, 5: 21960, 6: 21988, 7: 22022, 8: 22055, 9: 22080}"
286,"{10: 19500, 11: 19560, 12: 19587, 13: 19617, 14: 19640, 15: 19662, 38: 19691, 35: 19860, 34: 19863, 82: 19885, 81: 19931, 85: 19969, 84: 20029, 83: 20050, 16: 20066, 17: 20130, 88: 20143, 89: 20168, 93: 20193}"
349,"{10: 18600, 11: 18660, 12: 18687, 13: 18717, 14: 18740, 15: 18762, 38: 18791, 35: 18960, 34: 18963, 82: 18985, 81: 19031, 85: 19069, 84: 19129, 83: 19150, 16: 19166, 17: 19230, 88: 19243, 89: 19268, 93: 19293}"
351,"{10: 20400, 11: 20460, 12: 20487, 13: 20517, 14: 20540, 15: 20562, 38: 20591, 35: 20760, 34: 20763, 82: 20785, 81: 20831, 85: 20869, 84: 20929, 83: 20950, 16: 20966, 17: 21030, 88: 21043, 89: 21068, 93: 21093}"
394,"{10: 20880, 11: 20940, 12: 20967, 13: 20997, 14: 21020, 15: 21042, 38: 21071, 35: 21240, 34: 21243, 82: 21265, 81: 21311, 85: 21349, 84: 21409, 83: 21430, 16: 21446, 17: 21510, 88: 21523, 89: 21548, 93: 21573}"
395,"{92: 18360, 91: 18420, 90: 18445, 1: 18470, 86: 18562, 87: 18587, 2: 18647, 3: 18689, 4: 18730, 36: 18765, 37: 18768, 5: 18960, 6: 18988, 7: 19022, 8: 19055, 9: 19080}"
440,"{92: 20160, 91: 20220, 90: 20245, 1: 20270, 86: 20362, 87: 20387, 2: 20447, 3: 20489, 4: 20530, 36: 20565, 37: 20568, 5: 20760, 6: 20788, 7: 20822, 8: 20855, 9: 20880}"
443,"{10: 19020, 11: 19080, 12: 19104, 13: 19130, 14: 19150, 15: 19169, 38: 19195, 35: 19380, 34: 19383, 82: 19402, 81: 19442, 85: 19475, 84: 19535, 83: 19554, 16: 19568, 17: 19624, 88: 19635, 89: 19657, 93: 19679}"
