,begin_schedule
149,"{58: 42660, 57: 42720, 56: 42731, 55: 42746, 54: 42761, 53: 42776, 52: 42791, 51: 42806, 50: 42821, 49: 42836, 43: 42851, 35: 42857, 42: 42860, 36: 42861, 37: 42864, 5: 43080, 6: 43100, 7: 43124, 8: 43147, 9: 43165}"
220,"{10: 42120, 11: 42180, 12: 42204, 13: 42230, 14: 42250, 15: 42269, 38: 42295, 35: 42480, 34: 42483, 82: 42502, 81: 42542, 85: 42575, 84: 42635, 83: 42654, 16: 42668, 17: 42724, 88: 42735, 89: 42757, 93: 42779}"
221,"{92: 40500, 91: 40560, 90: 40585, 1: 40610, 86: 40702, 87: 40727, 2: 40787, 3: 40829, 4: 40870, 36: 40905, 37: 40908, 5: 41040, 6: 41068, 7: 41102, 8: 41135, 9: 41160}"
223,"{92: 42300, 91: 42360, 90: 42382, 1: 42404, 86: 42484, 87: 42506, 2: 42566, 3: 42603, 4: 42638, 36: 42668, 37: 42671, 5: 42840, 6: 42865, 7: 42895, 8: 42924, 9: 42946}"
251,"{10: 41640, 11: 41700, 12: 41727, 13: 41757, 14: 41780, 15: 41802, 38: 41831, 35: 42000, 34: 42003, 82: 42025, 81: 42071, 85: 42109, 84: 42169, 83: 42190, 16: 42206, 17: 42270, 88: 42283, 89: 42308, 93: 42333}"
258,"{92: 40980, 91: 41040, 90: 41062, 1: 41084, 86: 41164, 87: 41186, 2: 41246, 3: 41283, 4: 41318, 36: 41348, 37: 41351, 5: 41520, 6: 41545, 7: 41575, 8: 41604, 9: 41626}"
303,"{92: 39600, 91: 39660, 90: 39685, 1: 39710, 86: 39802, 87: 39827, 2: 39887, 3: 39929, 4: 39970, 36: 40005, 37: 40008, 5: 40140, 6: 40168, 7: 40202, 8: 40235, 9: 40260}"
305,"{92: 41460, 91: 41520, 90: 41545, 1: 41570, 86: 41662, 87: 41687, 2: 41747, 3: 41789, 4: 41830, 36: 41865, 37: 41868, 5: 42000, 6: 42028, 7: 42062, 8: 42095, 9: 42120}"
310,"{10: 41220, 11: 41280, 12: 41307, 13: 41337, 14: 41360, 15: 41382, 38: 41411, 35: 41580, 34: 41583, 82: 41605, 81: 41651, 85: 41689, 84: 41749, 83: 41770, 16: 41786, 17: 41850, 88: 41863, 89: 41888, 93: 41913}"
312,"{10: 43020, 11: 43080, 12: 43107, 13: 43137, 14: 43160, 15: 43182, 38: 43211, 35: 43380, 34: 43383, 82: 43405, 81: 43451, 85: 43489, 84: 43549, 83: 43570, 16: 43586, 17: 43650, 88: 43663, 89: 43688, 93: 43713}"
359,"{10: 40320, 11: 40380, 12: 40401, 13: 40424, 14: 40442, 15: 40459, 38: 40482, 35: 40680, 34: 40683, 82: 40700, 81: 40735, 85: 40765, 84: 40825, 83: 40842, 16: 40854, 17: 40904, 88: 40914, 89: 40934, 93: 40954}"
405,"{92: 40080, 91: 40140, 90: 40165, 1: 40190, 86: 40282, 87: 40307, 2: 40367, 3: 40409, 4: 40450, 36: 40485, 37: 40488, 5: 40620, 6: 40648, 7: 40682, 8: 40715, 9: 40740}"
408,"{92: 42780, 91: 42840, 90: 42865, 1: 42890, 86: 42982, 87: 43007, 2: 43067, 3: 43109, 4: 43150, 36: 43185, 37: 43188, 5: 43380, 6: 43408, 7: 43442, 8: 43475, 9: 43500}"
409,"{10: 39780, 11: 39840, 12: 39867, 13: 39897, 14: 39920, 15: 39942, 38: 39971, 35: 40200, 34: 40203, 82: 40225, 81: 40271, 85: 40309, 84: 40369, 83: 40390, 16: 40406, 17: 40470, 88: 40483, 89: 40508, 93: 40533}"
411,"{10: 42540, 11: 42600, 12: 42624, 13: 42650, 14: 42670, 15: 42689, 38: 42715, 35: 42960, 34: 42963, 82: 42982, 81: 43022, 85: 43055, 84: 43115, 83: 43134, 16: 43148, 17: 43204, 88: 43215, 89: 43237, 93: 43259}"
453,"{92: 41820, 91: 41880, 90: 41905, 1: 41930, 86: 42022, 87: 42047, 2: 42107, 3: 42149, 4: 42190, 36: 42225, 37: 42228, 5: 42360, 6: 42388, 7: 42422, 8: 42455, 9: 42480}"
459,"{10: 40680, 11: 40740, 12: 40761, 13: 40784, 14: 40802, 15: 40819, 38: 40842, 35: 41040, 34: 41043, 82: 41060, 81: 41095, 85: 41125, 84: 41185, 83: 41202, 16: 41214, 17: 41264, 88: 41274, 89: 41294, 93: 41314}"
