,end_schedule
182,"{10: 6901, 11: 6922, 12: 6945, 13: 6963, 14: 6980, 15: 7003, 38: 7201, 35: 7204, 34: 7221, 82: 7256, 81: 7286, 85: 7346, 84: 7363, 83: 7375, 16: 7425, 17: 7435, 88: 7455, 89: 7475, 93: 7534}"
183,"{92: 4261, 91: 4286, 90: 4311, 1: 4403, 86: 4428, 87: 4488, 2: 4530, 3: 4571, 4: 4606, 36: 4609, 37: 4741, 5: 4769, 6: 4803, 7: 4836, 8: 4861, 9: 4920}"
184,"{10: 7201, 11: 7228, 12: 7258, 13: 7281, 14: 7303, 15: 7332, 38: 7501, 35: 7504, 34: 7526, 82: 7572, 81: 7610, 85: 7670, 84: 7691, 83: 7707, 16: 7771, 17: 7784, 88: 7809, 89: 7834, 93: 7893}"
185,"{92: 5521, 91: 5546, 90: 5571, 1: 5663, 86: 5688, 87: 5748, 2: 5790, 3: 5831, 4: 5866, 36: 5869, 37: 6001, 5: 6029, 6: 6063, 7: 6096, 8: 6121, 9: 6180}"
187,"{92: 6661, 91: 6686, 90: 6711, 1: 6803, 86: 6828, 87: 6888, 2: 6930, 3: 6971, 4: 7006, 36: 7009, 37: 7141, 5: 7169, 6: 7203, 7: 7236, 8: 7261, 9: 7320}"
244,"{92: 4021, 91: 4046, 90: 4071, 1: 4163, 86: 4188, 87: 4248, 2: 4290, 3: 4331, 4: 4366, 36: 4369, 37: 4501, 5: 4529, 6: 4563, 7: 4596, 8: 4621, 9: 4680}"
246,"{92: 4621, 91: 4646, 90: 4671, 1: 4763, 86: 4788, 87: 4848, 2: 4890, 3: 4931, 4: 4966, 36: 4969, 37: 5101, 5: 5129, 6: 5163, 7: 5196, 8: 5221, 9: 5280}"
248,"{92: 5161, 91: 5186, 90: 5211, 1: 5303, 86: 5328, 87: 5388, 2: 5430, 3: 5471, 4: 5506, 36: 5509, 37: 5641, 5: 5669, 6: 5703, 7: 5736, 8: 5761, 9: 5820}"
250,"{92: 7021, 91: 7046, 90: 7071, 1: 7163, 86: 7188, 87: 7248, 2: 7290, 3: 7331, 4: 7366, 36: 7369, 37: 7501, 5: 7529, 6: 7563, 7: 7596, 8: 7621, 9: 7680}"
267,"{92: 6301, 91: 6326, 90: 6351, 1: 6443, 86: 6468, 87: 6528, 2: 6570, 3: 6611, 4: 6646, 36: 6649, 37: 6781, 5: 6809, 6: 6843, 7: 6876, 8: 6901, 9: 6960}"
268,"{10: 4141, 11: 4165, 12: 4191, 13: 4211, 14: 4230, 15: 4256, 38: 4441, 35: 4444, 34: 4463, 82: 4503, 81: 4536, 85: 4596, 84: 4615, 83: 4629, 16: 4685, 17: 4696, 88: 4718, 89: 4740, 93: 4799}"
270,"{10: 6001, 11: 6028, 12: 6058, 13: 6081, 14: 6103, 15: 6132, 38: 6301, 35: 6304, 34: 6326, 82: 6372, 81: 6410, 85: 6470, 84: 6491, 83: 6507, 16: 6571, 17: 6584, 88: 6609, 89: 6634, 93: 6693}"
379,"{92: 5941, 91: 5966, 90: 5991, 1: 6083, 86: 6108, 87: 6168, 2: 6210, 3: 6251, 4: 6286, 36: 6289, 37: 6481, 5: 6509, 6: 6543, 7: 6576, 8: 6601, 9: 6660}"
380,"{10: 3901, 11: 3922, 12: 3945, 13: 3963, 14: 3980, 15: 4003, 38: 4201, 35: 4204, 34: 4221, 82: 4256, 81: 4286, 85: 4346, 84: 4363, 83: 4375, 16: 4425, 17: 4435, 88: 4455, 89: 4475, 93: 4534}"
431,"{10: 4741, 11: 4765, 12: 4791, 13: 4811, 14: 4830, 15: 4856, 38: 5101, 35: 5104, 34: 5123, 82: 5163, 81: 5196, 85: 5256, 84: 5275, 83: 5289, 16: 5345, 17: 5356, 88: 5378, 89: 5400, 93: 5459}"
433,"{10: 6601, 11: 6625, 12: 6651, 13: 6671, 14: 6690, 15: 6716, 38: 6901, 35: 6904, 34: 6923, 82: 6963, 81: 6996, 85: 7056, 84: 7075, 83: 7089, 16: 7145, 17: 7156, 88: 7178, 89: 7200, 93: 7259}"
