,end_schedule
111,"{58: 8041, 57: 8052, 56: 8067, 55: 8082, 54: 8097, 53: 8112, 52: 8127, 51: 8142, 50: 8157, 49: 8172, 43: 8178, 35: 8181, 42: 8182, 36: 8185, 37: 8341, 5: 8361, 6: 8385, 7: 8408, 8: 8426, 9: 8485}"
113,"{58: 9841, 57: 9852, 56: 9867, 55: 9882, 54: 9897, 53: 9912, 52: 9927, 51: 9942, 50: 9957, 49: 9972, 43: 9978, 35: 9981, 42: 9982, 36: 9985, 37: 10141, 5: 10161, 6: 10185, 7: 10208, 8: 10226, 9: 10285}"
186,"{10: 9001, 11: 9028, 12: 9058, 13: 9081, 14: 9103, 15: 9132, 38: 9301, 35: 9304, 34: 9326, 82: 9372, 81: 9410, 85: 9470, 84: 9491, 83: 9507, 16: 9571, 17: 9584, 88: 9609, 89: 9634, 93: 9693}"
188,"{10: 9961, 11: 9988, 12: 10018, 13: 10041, 14: 10063, 15: 10092, 38: 10261, 35: 10264, 34: 10286, 82: 10332, 81: 10370, 85: 10430, 84: 10451, 83: 10467, 16: 10531, 17: 10544, 88: 10569, 89: 10594, 93: 10653}"
189,"{92: 8461, 91: 8483, 90: 8505, 1: 8585, 86: 8607, 87: 8667, 2: 8704, 3: 8739, 4: 8769, 36: 8772, 37: 8941, 5: 8966, 6: 8996, 7: 9025, 8: 9047, 9: 9106}"
191,"{92: 10441, 91: 10466, 90: 10491, 1: 10583, 86: 10608, 87: 10668, 2: 10710, 3: 10751, 4: 10786, 36: 10789, 37: 10921, 5: 10949, 6: 10983, 7: 11016, 8: 11041, 9: 11100}"
269,"{92: 8161, 91: 8181, 90: 8201, 1: 8272, 86: 8291, 87: 8351, 2: 8384, 3: 8415, 4: 8442, 36: 8445, 37: 8641, 5: 8663, 6: 8689, 7: 8715, 8: 8735, 9: 8794}"
271,"{92: 9841, 91: 9866, 90: 9891, 1: 9983, 86: 10008, 87: 10068, 2: 10110, 3: 10151, 4: 10186, 36: 10189, 37: 10321, 5: 10349, 6: 10383, 7: 10416, 8: 10441, 9: 10500}"
272,"{10: 7861, 11: 7888, 12: 7918, 13: 7941, 14: 7963, 15: 7992, 38: 8161, 35: 8164, 34: 8186, 82: 8232, 81: 8270, 85: 8330, 84: 8351, 83: 8367, 16: 8431, 17: 8444, 88: 8469, 89: 8494, 93: 8553}"
274,"{10: 9661, 11: 9682, 12: 9705, 13: 9723, 14: 9740, 15: 9763, 38: 9961, 35: 9964, 34: 9981, 82: 10016, 81: 10046, 85: 10106, 84: 10123, 83: 10135, 16: 10185, 17: 10195, 88: 10215, 89: 10235, 93: 10294}"
338,"{92: 7501, 91: 7526, 90: 7551, 1: 7643, 86: 7668, 87: 7728, 2: 7770, 3: 7811, 4: 7846, 36: 7849, 37: 7981, 5: 8009, 6: 8043, 7: 8076, 8: 8101, 9: 8160}"
339,"{10: 8701, 11: 8725, 12: 8751, 13: 8771, 14: 8790, 15: 8816, 38: 9001, 35: 9004, 34: 9023, 82: 9063, 81: 9096, 85: 9156, 84: 9175, 83: 9189, 16: 9245, 17: 9256, 88: 9278, 89: 9300, 93: 9359}"
340,"{92: 9121, 91: 9146, 90: 9171, 1: 9263, 86: 9288, 87: 9348, 2: 9390, 3: 9431, 4: 9466, 36: 9469, 37: 9601, 5: 9629, 6: 9663, 7: 9696, 8: 9721, 9: 9780}"
341,"{10: 10441, 11: 10468, 12: 10498, 13: 10521, 14: 10543, 15: 10572, 38: 10741, 35: 10744, 34: 10766, 82: 10812, 81: 10850, 85: 10910, 84: 10931, 83: 10947, 16: 11011, 17: 11024, 88: 11049, 89: 11074, 93: 11133}"
370,"{10: 7741, 11: 7768, 12: 7798, 13: 7821, 14: 7843, 15: 7872, 38: 7981, 35: 7984, 34: 8006, 82: 8052, 81: 8090, 85: 8150, 84: 8171, 83: 8187, 16: 8251, 17: 8264, 88: 8289, 89: 8314, 93: 8373}"
381,"{92: 8701, 91: 8726, 90: 8751, 1: 8843, 86: 8868, 87: 8928, 2: 8970, 3: 9011, 4: 9046, 36: 9049, 37: 9241, 5: 9269, 6: 9303, 7: 9336, 8: 9361, 9: 9420}"
382,"{92: 10141, 91: 10166, 90: 10191, 1: 10283, 86: 10308, 87: 10368, 2: 10410, 3: 10451, 4: 10486, 36: 10489, 37: 10681, 5: 10709, 6: 10743, 7: 10776, 8: 10801, 9: 10860}"
383,"{10: 7441, 11: 7468, 12: 7498, 13: 7521, 14: 7543, 15: 7572, 38: 7801, 35: 7804, 34: 7826, 82: 7872, 81: 7910, 85: 7970, 84: 7991, 83: 8007, 16: 8071, 17: 8084, 88: 8109, 89: 8134, 93: 8193}"
384,"{92: 10501, 91: 10523, 90: 10545, 1: 10625, 86: 10647, 87: 10707, 2: 10744, 3: 10779, 4: 10809, 36: 10812, 37: 11041, 5: 11066, 6: 11096, 7: 11125, 8: 11147, 9: 11206}"
385,"{10: 8281, 11: 8302, 12: 8325, 13: 8343, 14: 8360, 15: 8383, 38: 8641, 35: 8644, 34: 8661, 82: 8696, 81: 8726, 85: 8786, 84: 8803, 83: 8815, 16: 8865, 17: 8875, 88: 8895, 89: 8915, 93: 8974}"
386,"{10: 9241, 11: 9268, 12: 9298, 13: 9321, 14: 9343, 15: 9372, 38: 9601, 35: 9604, 34: 9626, 82: 9672, 81: 9710, 85: 9770, 84: 9791, 83: 9807, 16: 9871, 17: 9884, 88: 9909, 89: 9934, 93: 9993}"
430,"{92: 7681, 91: 7706, 90: 7731, 1: 7823, 86: 7848, 87: 7908, 2: 7950, 3: 7991, 4: 8026, 36: 8029, 37: 8161, 5: 8189, 6: 8223, 7: 8256, 8: 8281, 9: 8340}"
432,"{92: 9481, 91: 9506, 90: 9531, 1: 9623, 86: 9648, 87: 9708, 2: 9750, 3: 9791, 4: 9826, 36: 9829, 37: 10021, 5: 10049, 6: 10083, 7: 10116, 8: 10141, 9: 10200}"
436,"{10: 10201, 11: 10228, 12: 10258, 13: 10281, 14: 10303, 15: 10332, 38: 10501, 35: 10504, 34: 10526, 82: 10572, 81: 10610, 85: 10670, 84: 10691, 83: 10707, 16: 10771, 17: 10784, 88: 10809, 89: 10834, 93: 10893}"
