,begin_schedule
111,"{58: 7980, 57: 8040, 56: 8051, 55: 8066, 54: 8081, 53: 8096, 52: 8111, 51: 8126, 50: 8141, 49: 8156, 43: 8171, 35: 8177, 42: 8180, 36: 8181, 37: 8184, 5: 8340, 6: 8360, 7: 8384, 8: 8407, 9: 8425}"
113,"{58: 9780, 57: 9840, 56: 9851, 55: 9866, 54: 9881, 53: 9896, 52: 9911, 51: 9926, 50: 9941, 49: 9956, 43: 9971, 35: 9977, 42: 9980, 36: 9981, 37: 9984, 5: 10140, 6: 10160, 7: 10184, 8: 10207, 9: 10225}"
186,"{10: 8940, 11: 9000, 12: 9027, 13: 9057, 14: 9080, 15: 9102, 38: 9131, 35: 9300, 34: 9303, 82: 9325, 81: 9371, 85: 9409, 84: 9469, 83: 9490, 16: 9506, 17: 9570, 88: 9583, 89: 9608, 93: 9633}"
188,"{10: 9900, 11: 9960, 12: 9987, 13: 10017, 14: 10040, 15: 10062, 38: 10091, 35: 10260, 34: 10263, 82: 10285, 81: 10331, 85: 10369, 84: 10429, 83: 10450, 16: 10466, 17: 10530, 88: 10543, 89: 10568, 93: 10593}"
189,"{92: 8400, 91: 8460, 90: 8482, 1: 8504, 86: 8584, 87: 8606, 2: 8666, 3: 8703, 4: 8738, 36: 8768, 37: 8771, 5: 8940, 6: 8965, 7: 8995, 8: 9024, 9: 9046}"
191,"{92: 10380, 91: 10440, 90: 10465, 1: 10490, 86: 10582, 87: 10607, 2: 10667, 3: 10709, 4: 10750, 36: 10785, 37: 10788, 5: 10920, 6: 10948, 7: 10982, 8: 11015, 9: 11040}"
269,"{92: 8100, 91: 8160, 90: 8180, 1: 8200, 86: 8271, 87: 8290, 2: 8350, 3: 8383, 4: 8414, 36: 8441, 37: 8444, 5: 8640, 6: 8662, 7: 8688, 8: 8714, 9: 8734}"
271,"{92: 9780, 91: 9840, 90: 9865, 1: 9890, 86: 9982, 87: 10007, 2: 10067, 3: 10109, 4: 10150, 36: 10185, 37: 10188, 5: 10320, 6: 10348, 7: 10382, 8: 10415, 9: 10440}"
272,"{10: 7800, 11: 7860, 12: 7887, 13: 7917, 14: 7940, 15: 7962, 38: 7991, 35: 8160, 34: 8163, 82: 8185, 81: 8231, 85: 8269, 84: 8329, 83: 8350, 16: 8366, 17: 8430, 88: 8443, 89: 8468, 93: 8493}"
274,"{10: 9600, 11: 9660, 12: 9681, 13: 9704, 14: 9722, 15: 9739, 38: 9762, 35: 9960, 34: 9963, 82: 9980, 81: 10015, 85: 10045, 84: 10105, 83: 10122, 16: 10134, 17: 10184, 88: 10194, 89: 10214, 93: 10234}"
338,"{92: 7440, 91: 7500, 90: 7525, 1: 7550, 86: 7642, 87: 7667, 2: 7727, 3: 7769, 4: 7810, 36: 7845, 37: 7848, 5: 7980, 6: 8008, 7: 8042, 8: 8075, 9: 8100}"
339,"{10: 8640, 11: 8700, 12: 8724, 13: 8750, 14: 8770, 15: 8789, 38: 8815, 35: 9000, 34: 9003, 82: 9022, 81: 9062, 85: 9095, 84: 9155, 83: 9174, 16: 9188, 17: 9244, 88: 9255, 89: 9277, 93: 9299}"
340,"{92: 9060, 91: 9120, 90: 9145, 1: 9170, 86: 9262, 87: 9287, 2: 9347, 3: 9389, 4: 9430, 36: 9465, 37: 9468, 5: 9600, 6: 9628, 7: 9662, 8: 9695, 9: 9720}"
341,"{10: 10380, 11: 10440, 12: 10467, 13: 10497, 14: 10520, 15: 10542, 38: 10571, 35: 10740, 34: 10743, 82: 10765, 81: 10811, 85: 10849, 84: 10909, 83: 10930, 16: 10946, 17: 11010, 88: 11023, 89: 11048, 93: 11073}"
370,"{10: 7680, 11: 7740, 12: 7767, 13: 7797, 14: 7820, 15: 7842, 38: 7871, 35: 7980, 34: 7983, 82: 8005, 81: 8051, 85: 8089, 84: 8149, 83: 8170, 16: 8186, 17: 8250, 88: 8263, 89: 8288, 93: 8313}"
381,"{92: 8640, 91: 8700, 90: 8725, 1: 8750, 86: 8842, 87: 8867, 2: 8927, 3: 8969, 4: 9010, 36: 9045, 37: 9048, 5: 9240, 6: 9268, 7: 9302, 8: 9335, 9: 9360}"
382,"{92: 10080, 91: 10140, 90: 10165, 1: 10190, 86: 10282, 87: 10307, 2: 10367, 3: 10409, 4: 10450, 36: 10485, 37: 10488, 5: 10680, 6: 10708, 7: 10742, 8: 10775, 9: 10800}"
383,"{10: 7380, 11: 7440, 12: 7467, 13: 7497, 14: 7520, 15: 7542, 38: 7571, 35: 7800, 34: 7803, 82: 7825, 81: 7871, 85: 7909, 84: 7969, 83: 7990, 16: 8006, 17: 8070, 88: 8083, 89: 8108, 93: 8133}"
384,"{92: 10440, 91: 10500, 90: 10522, 1: 10544, 86: 10624, 87: 10646, 2: 10706, 3: 10743, 4: 10778, 36: 10808, 37: 10811, 5: 11040, 6: 11065, 7: 11095, 8: 11124, 9: 11146}"
385,"{10: 8220, 11: 8280, 12: 8301, 13: 8324, 14: 8342, 15: 8359, 38: 8382, 35: 8640, 34: 8643, 82: 8660, 81: 8695, 85: 8725, 84: 8785, 83: 8802, 16: 8814, 17: 8864, 88: 8874, 89: 8894, 93: 8914}"
386,"{10: 9180, 11: 9240, 12: 9267, 13: 9297, 14: 9320, 15: 9342, 38: 9371, 35: 9600, 34: 9603, 82: 9625, 81: 9671, 85: 9709, 84: 9769, 83: 9790, 16: 9806, 17: 9870, 88: 9883, 89: 9908, 93: 9933}"
430,"{92: 7620, 91: 7680, 90: 7705, 1: 7730, 86: 7822, 87: 7847, 2: 7907, 3: 7949, 4: 7990, 36: 8025, 37: 8028, 5: 8160, 6: 8188, 7: 8222, 8: 8255, 9: 8280}"
432,"{92: 9420, 91: 9480, 90: 9505, 1: 9530, 86: 9622, 87: 9647, 2: 9707, 3: 9749, 4: 9790, 36: 9825, 37: 9828, 5: 10020, 6: 10048, 7: 10082, 8: 10115, 9: 10140}"
436,"{10: 10140, 11: 10200, 12: 10227, 13: 10257, 14: 10280, 15: 10302, 38: 10331, 35: 10500, 34: 10503, 82: 10525, 81: 10571, 85: 10609, 84: 10669, 83: 10690, 16: 10706, 17: 10770, 88: 10783, 89: 10808, 93: 10833}"
