,begin_schedule
28,"{92: 14640, 91: 14700, 90: 14725, 1: 14750, 86: 14842, 87: 14867, 2: 14927, 3: 14969, 4: 15010, 36: 15045, 37: 15048, 5: 15138, 6: 15166, 7: 15200, 8: 15233, 9: 15258}"
29,"{92: 16440, 91: 16500, 90: 16522, 1: 16544, 86: 16624, 87: 16646, 2: 16706, 3: 16743, 4: 16778, 36: 16808, 37: 16811, 5: 16980, 6: 17005, 7: 17035, 8: 17064, 9: 17086}"
30,"{92: 33840, 91: 33900, 90: 33920, 1: 33940, 86: 34011, 87: 34030, 2: 34090, 3: 34123, 4: 34154, 36: 34181, 37: 34184, 5: 34380, 6: 34402, 7: 34428, 8: 34454, 9: 34474}"
31,"{92: 35280, 91: 35340, 90: 35365, 1: 35390, 86: 35482, 87: 35507, 2: 35567, 3: 35609, 4: 35650, 36: 35685, 37: 35688, 5: 35820, 6: 35848, 7: 35882, 8: 35915, 9: 35940}"
32,"{92: 51480, 91: 51540, 90: 51565, 1: 51590, 86: 51682, 87: 51707, 2: 51767, 3: 51809, 4: 51850, 36: 51885, 37: 51888, 5: 52020, 6: 52048, 7: 52082, 8: 52115, 9: 52140}"
33,"{10: 6180, 11: 6240, 12: 6259, 13: 6280, 14: 6296, 44: 6311, 45: 6315, 46: 6333, 47: 6600, 48: 6604, 65: 6611, 66: 6626, 67: 6641, 68: 6656, 69: 6671, 70: 6686, 71: 6701, 72: 6716, 73: 6731, 74: 6742}"
34,"{10: 9120, 11: 9180, 12: 9199, 13: 9220, 14: 9236, 44: 9251, 45: 9255, 46: 9273, 47: 9540, 48: 9544, 65: 9551, 66: 9566, 67: 9581, 68: 9596, 69: 9611, 70: 9626, 71: 9641, 72: 9656, 73: 9671, 74: 9682}"
35,"{10: 10680, 11: 10740, 12: 10759, 13: 10780, 14: 10796, 44: 10811, 45: 10815, 46: 10833, 47: 11040, 48: 11044, 65: 11051, 66: 11066, 67: 11081, 68: 11096, 69: 11111, 70: 11126, 71: 11141, 72: 11156, 73: 11171, 74: 11182}"
36,"{10: 12420, 11: 12480, 12: 12499, 13: 12520, 14: 12536, 44: 12551, 45: 12555, 46: 12573, 47: 12780, 48: 12784, 65: 12791, 66: 12806, 67: 12821, 68: 12836, 69: 12851, 70: 12866, 71: 12881, 72: 12896, 73: 12911, 74: 12922}"
37,"{10: 14580, 11: 14640, 12: 14659, 13: 14680, 14: 14696, 44: 14711, 45: 14715, 46: 14733, 47: 15000, 48: 15004, 65: 15011, 66: 15026, 67: 15041, 68: 15056, 69: 15071, 70: 15086, 71: 15101, 72: 15116, 73: 15131, 74: 15142}"
38,"{10: 16140, 11: 16200, 12: 16219, 13: 16240, 14: 16256, 44: 16271, 45: 16275, 46: 16293, 47: 16500, 48: 16504, 65: 16511, 66: 16526, 67: 16541, 68: 16556, 69: 16571, 70: 16586, 71: 16601, 72: 16616, 73: 16631, 74: 16642}"
39,"{10: 17880, 11: 17940, 12: 17959, 13: 17980, 14: 17996, 44: 18011, 45: 18015, 46: 18033, 47: 18240, 48: 18244, 65: 18251, 66: 18266, 67: 18281, 68: 18296, 69: 18311, 70: 18326, 71: 18341, 72: 18356, 73: 18371, 74: 18382}"
40,"{10: 19380, 11: 19440, 12: 19459, 13: 19480, 14: 19496, 44: 19511, 45: 19515, 46: 19533, 47: 19680, 48: 19684, 65: 19691, 66: 19706, 67: 19721, 68: 19736, 69: 19751, 70: 19766, 71: 19781, 72: 19796, 73: 19811, 74: 19822}"
41,"{10: 21180, 11: 21240, 12: 21259, 13: 21280, 14: 21296, 44: 21311, 45: 21315, 46: 21333, 47: 21480, 48: 21484, 65: 21491, 66: 21506, 67: 21521, 68: 21536, 69: 21551, 70: 21566, 71: 21581, 72: 21596, 73: 21611, 74: 21622}"
42,"{10: 22980, 11: 23040, 12: 23059, 13: 23080, 14: 23096, 44: 23111, 45: 23115, 46: 23133, 47: 23280, 48: 23284, 65: 23291, 66: 23306, 67: 23321, 68: 23336, 69: 23351, 70: 23366, 71: 23381, 72: 23396, 73: 23411, 74: 23422}"
43,"{10: 24780, 11: 24840, 12: 24859, 13: 24880, 14: 24896, 44: 24911, 45: 24915, 46: 24933, 47: 25080, 48: 25084, 65: 25091, 66: 25106, 67: 25121, 68: 25136, 69: 25151, 70: 25166, 71: 25181, 72: 25196, 73: 25211, 74: 25222}"
44,"{10: 26580, 11: 26640, 12: 26659, 13: 26680, 14: 26696, 44: 26711, 45: 26715, 46: 26733, 47: 26880, 48: 26884, 65: 26891, 66: 26906, 67: 26921, 68: 26936, 69: 26951, 70: 26966, 71: 26981, 72: 26996, 73: 27011, 74: 27022}"
45,"{10: 28440, 11: 28500, 12: 28519, 13: 28540, 14: 28556, 44: 28571, 45: 28575, 46: 28593, 47: 28740, 48: 28744, 65: 28751, 66: 28766, 67: 28781, 68: 28796, 69: 28811, 70: 28826, 71: 28841, 72: 28856, 73: 28871, 74: 28882}"
46,"{10: 30240, 11: 30300, 12: 30319, 13: 30340, 14: 30356, 44: 30371, 45: 30375, 46: 30393, 47: 30600, 48: 30604, 65: 30611, 66: 30626, 67: 30641, 68: 30656, 69: 30671, 70: 30686, 71: 30701, 72: 30716, 73: 30731, 74: 30742}"
47,"{10: 32160, 11: 32220, 12: 32239, 13: 32260, 14: 32276, 44: 32291, 45: 32295, 46: 32313, 47: 32520, 48: 32524, 65: 32531, 66: 32546, 67: 32561, 68: 32576, 69: 32591, 70: 32606, 71: 32621, 72: 32636, 73: 32651, 74: 32662}"
48,"{10: 33960, 11: 34020, 12: 34039, 13: 34060, 14: 34076, 44: 34091, 45: 34095, 46: 34113, 47: 34320, 48: 34324, 65: 34331, 66: 34346, 67: 34361, 68: 34376, 69: 34391, 70: 34406, 71: 34421, 72: 34436, 73: 34451, 74: 34462}"
49,"{10: 35640, 11: 35700, 12: 35719, 13: 35740, 14: 35756, 44: 35771, 45: 35775, 46: 35793, 47: 36000, 48: 36004, 65: 36011, 66: 36026, 67: 36041, 68: 36056, 69: 36071, 70: 36086, 71: 36101, 72: 36116, 73: 36131, 74: 36142}"
50,"{10: 37440, 11: 37500, 12: 37519, 13: 37540, 14: 37556, 44: 37571, 45: 37575, 46: 37593, 47: 37800, 48: 37804, 65: 37811, 66: 37826, 67: 37841, 68: 37856, 69: 37871, 70: 37886, 71: 37901, 72: 37916, 73: 37931, 74: 37942}"
51,"{10: 39240, 11: 39300, 12: 39319, 13: 39340, 14: 39356, 44: 39371, 45: 39375, 46: 39393, 47: 39600, 48: 39604, 65: 39611, 66: 39626, 67: 39641, 68: 39656, 69: 39671, 70: 39686, 71: 39701, 72: 39716, 73: 39731, 74: 39742}"
52,"{10: 41040, 11: 41100, 12: 41119, 13: 41140, 14: 41156, 44: 41171, 45: 41175, 46: 41193, 47: 41400, 48: 41404, 65: 41411, 66: 41426, 67: 41441, 68: 41456, 69: 41471, 70: 41486, 71: 41501, 72: 41516, 73: 41531, 74: 41542}"
53,"{10: 42840, 11: 42900, 12: 42919, 13: 42940, 14: 42956, 44: 42971, 45: 42975, 46: 42993, 47: 43200, 48: 43204, 65: 43211, 66: 43226, 67: 43241, 68: 43256, 69: 43271, 70: 43286, 71: 43301, 72: 43316, 73: 43331, 74: 43342}"
54,"{10: 44640, 11: 44700, 12: 44719, 13: 44740, 14: 44756, 44: 44771, 45: 44775, 46: 44793, 47: 45000, 48: 45004, 65: 45011, 66: 45026, 67: 45041, 68: 45056, 69: 45071, 70: 45086, 71: 45101, 72: 45116, 73: 45131, 74: 45142}"
55,"{10: 46500, 11: 46560, 12: 46579, 13: 46600, 14: 46616, 44: 46631, 45: 46635, 46: 46653, 47: 46860, 48: 46864, 65: 46871, 66: 46886, 67: 46901, 68: 46916, 69: 46931, 70: 46946, 71: 46961, 72: 46976, 73: 46991, 74: 47002}"
56,"{10: 48300, 11: 48360, 12: 48379, 13: 48400, 14: 48416, 44: 48431, 45: 48435, 46: 48453, 47: 48660, 48: 48664, 65: 48671, 66: 48686, 67: 48701, 68: 48716, 69: 48731, 70: 48746, 71: 48761, 72: 48776, 73: 48791, 74: 48802}"
57,"{10: 50100, 11: 50160, 12: 50179, 13: 50200, 14: 50216, 44: 50231, 45: 50235, 46: 50253, 47: 50460, 48: 50464, 65: 50471, 66: 50486, 67: 50501, 68: 50516, 69: 50531, 70: 50546, 71: 50561, 72: 50576, 73: 50591, 74: 50602}"
58,"{10: 51840, 11: 51900, 12: 51919, 13: 51940, 14: 51956, 44: 51971, 45: 51975, 46: 51993, 47: 52200, 48: 52204, 65: 52211, 66: 52226, 67: 52241, 68: 52256, 69: 52271, 70: 52286, 71: 52301, 72: 52316, 73: 52331, 74: 52342}"
59,"{10: 53640, 11: 53700, 12: 53719, 13: 53740, 14: 53756, 44: 53771, 45: 53775, 46: 53793, 47: 54000, 48: 54004, 65: 54011, 66: 54026, 67: 54041, 68: 54056, 69: 54071, 70: 54086, 71: 54101, 72: 54116, 73: 54131, 74: 54142}"
60,"{10: 55500, 11: 55560, 12: 55579, 13: 55600, 14: 55616, 44: 55631, 45: 55635, 46: 55653, 47: 55860, 48: 55864, 65: 55871, 66: 55886, 67: 55901, 68: 55916, 69: 55931, 70: 55946, 71: 55961, 72: 55976, 73: 55991, 74: 56002}"
61,"{10: 57300, 11: 57360, 12: 57379, 13: 57400, 14: 57416, 44: 57431, 45: 57435, 46: 57453, 47: 57660, 48: 57664, 65: 57671, 66: 57686, 67: 57701, 68: 57716, 69: 57731, 70: 57746, 71: 57761, 72: 57776, 73: 57791, 74: 57802}"
62,"{10: 59460, 11: 59520, 12: 59539, 13: 59560, 14: 59576, 44: 59591, 45: 59595, 46: 59613, 47: 59820, 48: 59824, 65: 59831, 66: 59846, 67: 59861, 68: 59876, 69: 59891, 70: 59906, 71: 59921, 72: 59936, 73: 59951, 74: 59962}"
63,"{10: 60900, 11: 60960, 12: 60979, 13: 61000, 14: 61016, 44: 61031, 45: 61035, 46: 61053, 47: 61260, 48: 61264, 65: 61271, 66: 61286, 67: 61301, 68: 61316, 69: 61331, 70: 61346, 71: 61361, 72: 61376, 73: 61391, 74: 61402}"
64,"{10: 62700, 11: 62760, 12: 62779, 13: 62800, 14: 62816, 44: 62831, 45: 62835, 46: 62853, 47: 63060, 48: 63064, 65: 63071, 66: 63086, 67: 63101, 68: 63116, 69: 63131, 70: 63146, 71: 63161, 72: 63176, 73: 63191, 74: 63202}"
65,"{10: 64440, 11: 64500, 12: 64519, 13: 64540, 14: 64556, 44: 64571, 45: 64575, 46: 64593, 47: 64800, 48: 64804, 65: 64811, 66: 64826, 67: 64841, 68: 64856, 69: 64871, 70: 64886, 71: 64901, 72: 64916, 73: 64931, 74: 64942}"
66,"{10: 66240, 11: 66300, 12: 66319, 13: 66340, 14: 66356, 44: 66371, 45: 66375, 46: 66393, 47: 66600, 48: 66604, 65: 66611, 66: 66626, 67: 66641, 68: 66656, 69: 66671, 70: 66686, 71: 66701, 72: 66716, 73: 66731, 74: 66742}"
67,"{10: 68040, 11: 68100, 12: 68119, 13: 68140, 14: 68156, 44: 68171, 45: 68175, 46: 68193, 47: 68400, 48: 68404, 65: 68411, 66: 68426, 67: 68441, 68: 68456, 69: 68471, 70: 68486, 71: 68501, 72: 68516, 73: 68531, 74: 68542}"
68,"{10: 70020, 11: 70080, 12: 70099, 13: 70120, 14: 70136, 44: 70151, 45: 70155, 46: 70173, 47: 70380, 48: 70384, 65: 70391, 66: 70406, 67: 70421, 68: 70436, 69: 70451, 70: 70466, 71: 70481, 72: 70496, 73: 70511, 74: 70522}"
69,"{58: 3960, 57: 4020, 56: 4031, 55: 4046, 54: 4061, 53: 4076, 52: 4091, 51: 4106, 50: 4121, 49: 4136, 43: 4151, 35: 4157, 42: 4160, 36: 4161, 37: 4164, 5: 4320, 6: 4340, 7: 4364, 8: 4387, 9: 4405}"
70,"{58: 5460, 57: 5520, 56: 5531, 55: 5546, 54: 5561, 53: 5576, 52: 5591, 51: 5606, 50: 5621, 49: 5636, 43: 5651, 35: 5657, 42: 5660, 36: 5661, 37: 5664, 5: 5820, 6: 5840, 7: 5864, 8: 5887, 9: 5905}"
71,"{58: 7260, 57: 7320, 56: 7331, 55: 7346, 54: 7361, 53: 7376, 52: 7391, 51: 7406, 50: 7421, 49: 7436, 43: 7451, 35: 7457, 42: 7460, 36: 7461, 37: 7464, 5: 7680, 6: 7700, 7: 7724, 8: 7747, 9: 7765}"
72,"{58: 9000, 57: 9060, 56: 9071, 55: 9086, 54: 9101, 53: 9116, 52: 9131, 51: 9146, 50: 9161, 49: 9176, 43: 9191, 35: 9197, 42: 9200, 36: 9201, 37: 9204, 5: 9360, 6: 9380, 7: 9404, 8: 9427, 9: 9445}"
73,"{58: 10860, 57: 10920, 56: 10931, 55: 10946, 54: 10961, 53: 10976, 52: 10991, 51: 11006, 50: 11021, 49: 11036, 43: 11051, 35: 11057, 42: 11060, 36: 11061, 37: 11064, 5: 11220, 6: 11240, 7: 11264, 8: 11287, 9: 11305}"
74,"{58: 12600, 57: 12660, 56: 12671, 55: 12686, 54: 12701, 53: 12716, 52: 12731, 51: 12746, 50: 12761, 49: 12776, 43: 12791, 35: 12797, 42: 12800, 36: 12801, 37: 12804, 5: 12960, 6: 12980, 7: 13004, 8: 13027, 9: 13045}"
75,"{58: 14340, 57: 14400, 56: 14411, 55: 14426, 54: 14441, 53: 14456, 52: 14471, 51: 14486, 50: 14501, 49: 14516, 43: 14531, 35: 14537, 42: 14540, 36: 14541, 37: 14544, 5: 14700, 6: 14720, 7: 14744, 8: 14767, 9: 14785}"
76,"{58: 16140, 57: 16200, 56: 16211, 55: 16226, 54: 16241, 53: 16256, 52: 16271, 51: 16286, 50: 16301, 49: 16316, 43: 16331, 35: 16337, 42: 16340, 36: 16341, 37: 16344, 5: 16500, 6: 16520, 7: 16544, 8: 16567, 9: 16585}"
77,"{58: 18120, 57: 18180, 56: 18191, 55: 18206, 54: 18221, 53: 18236, 52: 18251, 51: 18266, 50: 18281, 49: 18296, 43: 18311, 35: 18317, 42: 18320, 36: 18321, 37: 18324, 5: 18480, 6: 18500, 7: 18524, 8: 18547, 9: 18565}"
78,"{58: 20280, 57: 20340, 56: 20351, 55: 20366, 54: 20381, 53: 20396, 52: 20411, 51: 20426, 50: 20441, 49: 20456, 43: 20471, 35: 20477, 42: 20480, 36: 20481, 37: 20484, 5: 20700, 6: 20720, 7: 20744, 8: 20767, 9: 20785}"
79,"{58: 22080, 57: 22140, 56: 22151, 55: 22166, 54: 22181, 53: 22196, 52: 22211, 51: 22226, 50: 22241, 49: 22256, 43: 22271, 35: 22277, 42: 22280, 36: 22281, 37: 22284, 5: 22500, 6: 22520, 7: 22544, 8: 22567, 9: 22585}"
80,"{58: 23880, 57: 23940, 56: 23951, 55: 23966, 54: 23981, 53: 23996, 52: 24011, 51: 24026, 50: 24041, 49: 24056, 43: 24071, 35: 24077, 42: 24080, 36: 24081, 37: 24084, 5: 24300, 6: 24320, 7: 24344, 8: 24367, 9: 24385}"
81,"{58: 25680, 57: 25740, 56: 25751, 55: 25766, 54: 25781, 53: 25796, 52: 25811, 51: 25826, 50: 25841, 49: 25856, 43: 25871, 35: 25877, 42: 25880, 36: 25881, 37: 25884, 5: 26100, 6: 26120, 7: 26144, 8: 26167, 9: 26185}"
82,"{58: 27420, 57: 27480, 56: 27491, 55: 27506, 54: 27521, 53: 27536, 52: 27551, 51: 27566, 50: 27581, 49: 27596, 43: 27611, 35: 27617, 42: 27620, 36: 27621, 37: 27624, 5: 27840, 6: 27860, 7: 27884, 8: 27907, 9: 27925}"
83,"{58: 29220, 57: 29280, 56: 29291, 55: 29306, 54: 29321, 53: 29336, 52: 29351, 51: 29366, 50: 29381, 49: 29396, 43: 29411, 35: 29417, 42: 29420, 36: 29421, 37: 29424, 5: 29640, 6: 29660, 7: 29684, 8: 29707, 9: 29725}"
84,"{58: 31020, 57: 31080, 56: 31091, 55: 31106, 54: 31121, 53: 31136, 52: 31151, 51: 31166, 50: 31181, 49: 31196, 43: 31211, 35: 31217, 42: 31220, 36: 31221, 37: 31224, 5: 31440, 6: 31460, 7: 31484, 8: 31507, 9: 31525}"
85,"{58: 32820, 57: 32880, 56: 32891, 55: 32906, 54: 32921, 53: 32936, 52: 32951, 51: 32966, 50: 32981, 49: 32996, 43: 33011, 35: 33017, 42: 33020, 36: 33021, 37: 33024, 5: 33240, 6: 33260, 7: 33284, 8: 33307, 9: 33325}"
86,"{58: 34680, 57: 34740, 56: 34751, 55: 34766, 54: 34781, 53: 34796, 52: 34811, 51: 34826, 50: 34841, 49: 34856, 43: 34871, 35: 34877, 42: 34880, 36: 34881, 37: 34884, 5: 35040, 6: 35060, 7: 35084, 8: 35107, 9: 35125}"
87,"{58: 36420, 57: 36480, 56: 36491, 55: 36506, 54: 36521, 53: 36536, 52: 36551, 51: 36566, 50: 36581, 49: 36596, 43: 36611, 35: 36617, 42: 36620, 36: 36621, 37: 36624, 5: 36840, 6: 36860, 7: 36884, 8: 36907, 9: 36925}"
88,"{58: 38280, 57: 38340, 56: 38351, 55: 38366, 54: 38381, 53: 38396, 52: 38411, 51: 38426, 50: 38441, 49: 38456, 43: 38471, 35: 38477, 42: 38480, 36: 38481, 37: 38484, 5: 38640, 6: 38660, 7: 38684, 8: 38707, 9: 38725}"
89,"{58: 40080, 57: 40140, 56: 40151, 55: 40166, 54: 40181, 53: 40196, 52: 40211, 51: 40226, 50: 40241, 49: 40256, 43: 40271, 35: 40277, 42: 40280, 36: 40281, 37: 40284, 5: 40500, 6: 40520, 7: 40544, 8: 40567, 9: 40585}"
90,"{58: 41880, 57: 41940, 56: 41951, 55: 41966, 54: 41981, 53: 41996, 52: 42011, 51: 42026, 50: 42041, 49: 42056, 43: 42071, 35: 42077, 42: 42080, 36: 42081, 37: 42084, 5: 42300, 6: 42320, 7: 42344, 8: 42367, 9: 42385}"
91,"{58: 43680, 57: 43740, 56: 43751, 55: 43766, 54: 43781, 53: 43796, 52: 43811, 51: 43826, 50: 43841, 49: 43856, 43: 43871, 35: 43877, 42: 43880, 36: 43881, 37: 43884, 5: 44100, 6: 44120, 7: 44144, 8: 44167, 9: 44185}"
92,"{58: 45420, 57: 45480, 56: 45491, 55: 45506, 54: 45521, 53: 45536, 52: 45551, 51: 45566, 50: 45581, 49: 45596, 43: 45611, 35: 45617, 42: 45620, 36: 45621, 37: 45624, 5: 45840, 6: 45860, 7: 45884, 8: 45907, 9: 45925}"
93,"{58: 47220, 57: 47280, 56: 47291, 55: 47306, 54: 47321, 53: 47336, 52: 47351, 51: 47366, 50: 47381, 49: 47396, 43: 47411, 35: 47417, 42: 47420, 36: 47421, 37: 47424, 5: 47640, 6: 47660, 7: 47684, 8: 47707, 9: 47725}"
94,"{58: 49080, 57: 49140, 56: 49151, 55: 49166, 54: 49181, 53: 49196, 52: 49211, 51: 49226, 50: 49241, 49: 49256, 43: 49271, 35: 49277, 42: 49280, 36: 49281, 37: 49284, 5: 49500, 6: 49520, 7: 49544, 8: 49567, 9: 49585}"
95,"{58: 50880, 57: 50940, 56: 50951, 55: 50966, 54: 50981, 53: 50996, 52: 51011, 51: 51026, 50: 51041, 49: 51056, 43: 51071, 35: 51077, 42: 51080, 36: 51081, 37: 51084, 5: 51300, 6: 51320, 7: 51344, 8: 51367, 9: 51385}"
96,"{58: 52620, 57: 52680, 56: 52691, 55: 52706, 54: 52721, 53: 52736, 52: 52751, 51: 52766, 50: 52781, 49: 52796, 43: 52811, 35: 52817, 42: 52820, 36: 52821, 37: 52824, 5: 53040, 6: 53060, 7: 53084, 8: 53107, 9: 53125}"
97,"{58: 54480, 57: 54540, 56: 54551, 55: 54566, 54: 54581, 53: 54596, 52: 54611, 51: 54626, 50: 54641, 49: 54656, 43: 54671, 35: 54677, 42: 54680, 36: 54681, 37: 54684, 5: 54900, 6: 54920, 7: 54944, 8: 54967, 9: 54985}"
98,"{58: 56160, 57: 56220, 56: 56231, 55: 56246, 54: 56261, 53: 56276, 52: 56291, 51: 56306, 50: 56321, 49: 56336, 43: 56351, 35: 56357, 42: 56360, 36: 56361, 37: 56364, 5: 56520, 6: 56540, 7: 56564, 8: 56587, 9: 56605}"
99,"{58: 58080, 57: 58140, 56: 58151, 55: 58166, 54: 58181, 53: 58196, 52: 58211, 51: 58226, 50: 58241, 49: 58256, 43: 58271, 35: 58277, 42: 58280, 36: 58281, 37: 58284, 5: 58440, 6: 58460, 7: 58484, 8: 58507, 9: 58525}"
100,"{58: 59880, 57: 59940, 56: 59951, 55: 59966, 54: 59981, 53: 59996, 52: 60011, 51: 60026, 50: 60041, 49: 60056, 43: 60071, 35: 60077, 42: 60080, 36: 60081, 37: 60084, 5: 60240, 6: 60260, 7: 60284, 8: 60307, 9: 60325}"
